context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	In search of the magic stone, Asta and the others arrived at the Underwater Temple,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple, response:	where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale. response:	According to your ranking system,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system, response:	my temple mages would be more powerful than intermediate knights!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights! response:	Wh-Wh-Wh-What?!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights!\Wh-Wh-Wh-What?! response:	Don't think I'm gonna get discouraged just because I'm surrounded by water.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights!\Wh-Wh-Wh-What?!\Don't think I'm gonna get discouraged just because I'm surrounded by water. response:	Magna and Luck also participated in the game, hoping to get the magic stone.
context: He was called the Wizard King, and he became a legend.\In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights!\Wh-Wh-Wh-What?!\Don't think I'm gonna get discouraged just because I'm surrounded by water.\Magna and Luck also participated in the game, hoping to get the magic stone. response:	Ya snooze, ya lose, Magna!
context: In search of the magic stone, Asta and the others arrived at the Underwater Temple,\where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights!\Wh-Wh-Wh-What?!\Don't think I'm gonna get discouraged just because I'm surrounded by water.\Magna and Luck also participated in the game, hoping to get the magic stone.\Ya snooze, ya lose, Magna! response:	Lightning Magic: Thunderbolt Destruction!
context: where they were forced to participate in High Priest Gifso's game, the Temple Battle Royale.\According to your ranking system,\my temple mages would be more powerful than intermediate knights!\Wh-Wh-Wh-What?!\Don't think I'm gonna get discouraged just because I'm surrounded by water.\Magna and Luck also participated in the game, hoping to get the magic stone.\Ya snooze, ya lose, Magna!\Lightning Magic: Thunderbolt Destruction! response:	Well, well, aren't you lively?
