context: It's like the report said... response:	The entire village is devastated,
context: It's like the report said...\The entire village is devastated, response:	and yet there's not a drop of blood, let alone any bodies here.
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here. response:	Then... the villagers of Ragako were able to safely evacuate?
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate? response:	If that's the case,
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case, response:	then the Titans were having a field day in a completely empty village.
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village. response:	That's hard to believe.
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe. response:	Furthermore... why would they evacuate without even taking a single horse?
context: It's like the report said...\The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse? response:	Then what happened?
context: The entire village is devastated,\and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened? response:	What could this mean?
context: and yet there's not a drop of blood, let alone any bodies here.\Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean? response:	Moblit, I found one! This way!
context: Then... the villagers of Ragako were able to safely evacuate?\If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean?\Moblit, I found one! This way! response:	There you are...
context: If that's the case,\then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean?\Moblit, I found one! This way!\There you are... response:	Moblit, look at this.
context: then the Titans were having a field day in a completely empty village.\That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean?\Moblit, I found one! This way!\There you are...\Moblit, look at this. response:	This is a portrait of Conny Springer's parents?
context: That's hard to believe.\Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean?\Moblit, I found one! This way!\There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents? response:	It's a strong possibility.
context: Furthermore... why would they evacuate without even taking a single horse?\Then what happened?\What could this mean?\Moblit, I found one! This way!\There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility. response:	Kill it!
context: Then what happened?\What could this mean?\Moblit, I found one! This way!\There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it! response:	Wait! Hold up!
context: What could this mean?\Moblit, I found one! This way!\There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it!\Wait! Hold up! response:	Unbelievable...
context: Moblit, I found one! This way!\There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it!\Wait! Hold up!\Unbelievable... response:	Children
context: There you are...\Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it!\Wait! Hold up!\Unbelievable...\Children response:	Will it be your petty life... or Christa's future?
context: Moblit, look at this.\This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it!\Wait! Hold up!\Unbelievable...\Children\Will it be your petty life... or Christa's future? response:	It's up to you to decide.
context: This is a portrait of Conny Springer's parents?\It's a strong possibility.\Kill it!\Wait! Hold up!\Unbelievable...\Children\Will it be your petty life... or Christa's future?\It's up to you to decide. response:	Hey, say something! Who's the enemy?!
context: It's a strong possibility.\Kill it!\Wait! Hold up!\Unbelievable...\Children\Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?! response:	Ymir!
context: Kill it!\Wait! Hold up!\Unbelievable...\Children\Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir! response:	Who knows...
context: Wait! Hold up!\Unbelievable...\Children\Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir!\Who knows... response:	It's settled then.
context: Unbelievable...\Children\Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir!\Who knows...\It's settled then. response:	Too bad, Eren.
context: Children\Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir!\Who knows...\It's settled then.\Too bad, Eren. response:	You're kidding...
context: Will it be your petty life... or Christa's future?\It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir!\Who knows...\It's settled then.\Too bad, Eren.\You're kidding... response:	The Scouts... are already...
context: It's up to you to decide.\Hey, say something! Who's the enemy?!\Ymir!\Who knows...\It's settled then.\Too bad, Eren.\You're kidding...\The Scouts... are already... response:	Dammit!
context: Hey, say something! Who's the enemy?!\Ymir!\Who knows...\It's settled then.\Too bad, Eren.\You're kidding...\The Scouts... are already...\Dammit! response:	Reiner. What are you right now?
context: Ymir!\Who knows...\It's settled then.\Too bad, Eren.\You're kidding...\The Scouts... are already...\Dammit!\Reiner. What are you right now? response:	Relax, I'm a warrior.
context: Who knows...\It's settled then.\Too bad, Eren.\You're kidding...\The Scouts... are already...\Dammit!\Reiner. What are you right now?\Relax, I'm a warrior. response:	You're saying to trust Ymir as a warrior?
context: It's settled then.\Too bad, Eren.\You're kidding...\The Scouts... are already...\Dammit!\Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior? response:	Isn't she the one who ate Marcel?
context: Too bad, Eren.\You're kidding...\The Scouts... are already...\Dammit!\Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel? response:	Yeah, that's my point. Ymir's motive is clear.
context: You're kidding...\The Scouts... are already...\Dammit!\Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear. response:	Once she turned human again,
context: The Scouts... are already...\Dammit!\Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again, response:	she probably roamed around and lived only caring about herself.
context: Dammit!\Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself. response:	Until she met Christa...
context: Reiner. What are you right now?\Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa... response:	And as cute as Christa is, we have other reasons to bring her to our side.
context: Relax, I'm a warrior.\You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side. response:	She's an important person in a family of the Church.
context: You're saying to trust Ymir as a warrior?\Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church. response:	If Eren turns out not to be the Coordinate, our job isn't over yet.
context: Isn't she the one who ate Marcel?\Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet. response:	Having Christa with us at that point will make our search much easier.
context: Yeah, that's my point. Ymir's motive is clear.\Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier. response:	They're close.
context: Once she turned human again,\she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close. response:	What are they talking about?
context: she probably roamed around and lived only caring about herself.\Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about? response:	Are they planning to leave before the sun sets?
context: Until she met Christa...\And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about?\Are they planning to leave before the sun sets? response:	Let's bring an end to it.
context: And as cute as Christa is, we have other reasons to bring her to our side.\She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it. response:	The next time we come here,
context: She's an important person in a family of the Church.\If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here, response:	we can take Annie, Christa, and that back home.
context: If Eren turns out not to be the Coordinate, our job isn't over yet.\Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home. response:	That way we won't have to come here anymore.
context: Having Christa with us at that point will make our search much easier.\They're close.\What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore. response:	Right. And our mission will be over.
context: They're close.\What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over. response:	But as for you...
context: What are they talking about?\Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you... response:	When we get to our hometown, tell Annie how you feel.
context: Are they planning to leave before the sun sets?\Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel. response:	Huh? Wh-What do you mean?
context: Let's bring an end to it.\The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean? response:	You stare too much.
context: The next time we come here,\we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much. response:	Enough that everyone can tell.
context: we can take Annie, Christa, and that back home.\That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell. response:	But I-
context: That way we won't have to come here anymore.\Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell.\But I- response:	You should go for it.
context: Right. And our mission will be over.\But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell.\But I-\You should go for it. response:	You're both murderers with short lives ahead.
context: But as for you...\When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell.\But I-\You should go for it.\You're both murderers with short lives ahead. response:	Who better to understand what we've gone through than one of us?
context: When we get to our hometown, tell Annie how you feel.\Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell.\But I-\You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us? response:	What's going on, Reiner?
context: Huh? Wh-What do you mean?\You stare too much.\Enough that everyone can tell.\But I-\You should go for it.\You're both murderers with short lives ahead.\Who better to understand what we've gone through than one of us?\What's going on, Reiner? response:	Aren't we waiting until night?
