context: True Calendar, year 71. response:	JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity, response:	but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation. response:	The JIOR government quickly conceded to their demand of unconditional surrender,
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender, response:	but Haruto Tokishima, a student in the developing colony of Module 77,
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77, response:	climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces. response:	Dorssia and ARUS are now in a contest to determine who will control the Valvrave.
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave. response:	As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,
context: True Calendar, year 71.\JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president, response:	their school has become an independent country.
context: JIOR, a proponent of peace through neutrality, had enjoyed economic prosperity,\but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country. response:	Why did
context: but came under sudden, overwhelming attack by the Dorssia Military Pact Federation.\The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did response:	Miss Rukino!
context: The JIOR government quickly conceded to their demand of unconditional surrender,\but Haruto Tokishima, a student in the developing colony of Module 77,\climbed aboard the Valvrave, a mysterious weapon, and drove off the Dorssian forces.\Dorssia and ARUS are now in a contest to determine who will control the Valvrave.\As a result of the declaration by Shoko Sashinami, the daughter of JIOR's president,\their school has become an independent country.\Why did\Miss Rukino! response:	Don't go in there!
