context: Spring is almost here, isn't it? response:	Yeah, spring...
context: Spring is almost here, isn't it?\Yeah, spring... response:	It's really spring.
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring. response:	When spring approaches, we tend to mellow out, don't we?
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we? response:	You're always mellow, though.
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though. response:	It's more unusual when you're not mellow.
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow. response:	Now that you mention it, you're right.
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right. response:	Dear Ai, this year's Carnevale brought more visitors than usual.
context: Spring is almost here, isn't it?\Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual. response:	Things were really lively right up until yesterday, when it ended.
context: Yeah, spring...\It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended. response:	During Carnevale, we had many opportunities to work onboard our mentors' gondolas.
context: It's really spring.\When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas. response:	It gave us the chance to watch them up close as they worked with all sorts of customers.
context: When spring approaches, we tend to mellow out, don't we?\You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers. response:	It was a great hands-on learning experience. But...
context: You're always mellow, though.\It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But... response:	I guess I still have a long way to go before I can become a Prima.
context: It's more unusual when you're not mellow.\Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima. response:	I'm sure you'll be just fine, Akari.
context: Now that you mention it, you're right.\Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari. response:	In fact, by the next time I visit Neo-Venezia, you might already be a Prima.
context: Dear Ai, this year's Carnevale brought more visitors than usual.\Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima. response:	Do you remember that day Oboeteimasuka ano hi o
context: Things were really lively right up until yesterday, when it ended.\During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: During Carnevale, we had many opportunities to work onboard our mentors' gondolas.\It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: It gave us the chance to watch them up close as they worked with all sorts of customers.\It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: It was a great hands-on learning experience. But...\I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: I guess I still have a long way to go before I can become a Prima.\I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: I'm sure you'll be just fine, Akari.\In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: In fact, by the next time I visit Neo-Venezia, you might already be a Prima.\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	That Imminent Spring Breeze...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\That Imminent Spring Breeze... response:	Gondola coming through!
