context: All right. response:	We both paid our enrollment fees, so that means...
context: All right.\We both paid our enrollment fees, so that means... response:	I guess our new lives here at the Hero Academy are about to begin.
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin. response:	Yeah!
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah! response:	Noir, you need to bow!
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow! response:	Huh?
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow!\Huh? response:	R-Right.
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow!\Huh?\R-Right. response:	Is she a student, too?
context: All right.\We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow!\Huh?\R-Right.\Is she a student, too? response:	You don't remember?
context: We both paid our enrollment fees, so that means...\I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow!\Huh?\R-Right.\Is she a student, too?\You don't remember? response:	She was there during the exams. Maria Fianna Albert.
context: I guess our new lives here at the Hero Academy are about to begin.\Yeah!\Noir, you need to bow!\Huh?\R-Right.\Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert. response:	She's the daughter of the famous Duke Albert.
context: Yeah!\Noir, you need to bow!\Huh?\R-Right.\Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert. response:	A duke... So she's one of the highest-ranking nobles.
context: Noir, you need to bow!\Huh?\R-Right.\Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles. response:	I'll sneak a peek with my Discerning Eye to see what she's like.
context: Huh?\R-Right.\Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like. response:	Noir? Is something wrong?
context: R-Right.\Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong? response:	There's...
context: Is she a student, too?\You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's... response:	There's a curse on her.
context: You don't remember?\She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's...\There's a curse on her. response:	A curse that will cause her to die on her sixteenth birthday.
context: She was there during the exams. Maria Fianna Albert.\She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday. response:	A-Alice... You sure like to be close.
context: She's the daughter of the famous Duke Albert.\A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close. response:	Well, today's your first day of school.
context: A duke... So she's one of the highest-ranking nobles.\I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school. response:	I know you'll do wonderfully at the Hero Academy.
context: I'll sneak a peek with my Discerning Eye to see what she's like.\Noir? Is something wrong?\There's...\There's a curse on her.\A curse that will cause her to die on her sixteenth birthday.\A-Alice... You sure like to be close.\Well, today's your first day of school.\I know you'll do wonderfully at the Hero Academy. response:	I don't care if I have to cough up blood! I'm going to get into that school next year!
