context: Rule the Court response:	Go, go, let's go! Let's go, Date Tech!
context: Rule the Court\Go, go, let's go! Let's go, Date Tech! response:	The Iron Wall of Date
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date response:	Let's play!
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play! response:	Yeah.
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play!\Yeah. response:	Now, now. Don't be so tense.
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play!\Yeah.\Now, now. Don't be so tense. response:	You guys still have next year.
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play!\Yeah.\Now, now. Don't be so tense.\You guys still have next year. response:	That doesn't matter.
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play!\Yeah.\Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter. response:	Positions and such don't matter once you're on the court.
context: Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Let's play!\Yeah.\Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court. response:	I know, right?
context: The Iron Wall of Date\Let's play!\Yeah.\Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right? response:	Heads is Seijoh, tails is Date Tech.
context: Let's play!\Yeah.\Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech. response:	It doesn't matter if you're a first-year or a third-year.
context: Yeah.\Now, now. Don't be so tense.\You guys still have next year.\That doesn't matter.\Positions and such don't matter once you're on the court.\I know, right?\Heads is Seijoh, tails is Date Tech.\It doesn't matter if you're a first-year or a third-year. response:	The strong are the strong,
