context: Our Tackle response:	Yesterday, on Enoshima, an island shaken by panic
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic response:	caused by extraterrestrials, a boy claiming to be
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be response:	an alien wildly fired a water gun at island residents.
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents. response:	I'm an alien!
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien! response:	This island is mine!
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine! response:	Residents of Enoshima have been instructed to evacuate...
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate... response:	Haru...
context: Our Tackle\Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru... response:	What were you thinking then?
context: Yesterday, on Enoshima, an island shaken by panic\caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then? response:	Alien investigation organization Duck is pursuing the boy.
context: caused by extraterrestrials, a boy claiming to be\an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy. response:	Dry!
context: an alien wildly fired a water gun at island residents.\I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry! response:	Hot! Hot!
context: I'm an alien!\This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot! response:	Dry!
context: This island is mine!\Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot!\Dry! response:	Hot! Hot!
context: Residents of Enoshima have been instructed to evacuate...\Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot!\Dry!\Hot! Hot! response:	Dry! Dry! Dry!
context: Haru...\What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot!\Dry!\Hot! Hot!\Dry! Dry! Dry! response:	Haino, haino, haino...
context: What were you thinking then?\Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot!\Dry!\Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino... response:	Rescue!
context: Alien investigation organization Duck is pursuing the boy.\Dry!\Hot! Hot!\Dry!\Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino...\Rescue! response:	Hot! Hot!
context: Dry!\Hot! Hot!\Dry!\Hot! Hot!\Dry! Dry! Dry!\Haino, haino, haino...\Rescue!\Hot! Hot! response:	While gradually gathering force,
