context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J response:	J Pokemon! Oh, you're my best friend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J response:	J In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J response:	J A heart so true Our courage will pull us through J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J response:	J You teach me and I'll teach you J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J response:	J Pokemon! Gotta catch'em all J
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J response:	J Gotta catch'em all Pokemon! J
context: J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J response:	- Scissor Street? Why'd we come here? - You'll see.
context: J Pokemon! Oh, you're my best friend J\J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see. response:	Sure are a lot of Pokemon beauty parlors.
context: J In a world we must defend J\J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors. response:	Ash and his friends take a walk along Scissor Street.
context: J Pokemon! Gotta catch'em all J\J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street. response:	Why have they come here? Only Brock knows the answer.
context: J A heart so true Our courage will pull us through J\J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer. response:	-Hm. -Is there any place special
context: J You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special response:	you want to visit, Brock?
context: J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special\you want to visit, Brock? response:	-Hm. -Wait a minute. I just remembered
context: J Gotta catch'em all Pokemon! J\- Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special\you want to visit, Brock?\-Hm. -Wait a minute. I just remembered response:	that Scissor Street is also called Breeder's Lane.
context: - Scissor Street? Why'd we come here? - You'll see.\Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special\you want to visit, Brock?\-Hm. -Wait a minute. I just remembered\that Scissor Street is also called Breeder's Lane. response:	-Where is it? -So that's why we're here.
context: Sure are a lot of Pokemon beauty parlors.\Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special\you want to visit, Brock?\-Hm. -Wait a minute. I just remembered\that Scissor Street is also called Breeder's Lane.\-Where is it? -So that's why we're here. response:	Brock's always got to see the latest breeder gear.
context: Ash and his friends take a walk along Scissor Street.\Why have they come here? Only Brock knows the answer.\-Hm. -Is there any place special\you want to visit, Brock?\-Hm. -Wait a minute. I just remembered\that Scissor Street is also called Breeder's Lane.\-Where is it? -So that's why we're here.\Brock's always got to see the latest breeder gear. response:	Brock dreams of becoming a Pokemon breeder,
