context: Chise! response:	Chise! Chise!
context: Chise!\Chise! Chise! response:	Looks like the binding of her ring didn't hold up.
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up. response:	These Sleigh Beggy children just get weaker and weaker.
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker. response:	Chise's familiar, huh?
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh? response:	How's Chise?
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise? response:	You need to get in her shadows.
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise?\You need to get in her shadows. response:	Hey, snap out of it, thorn child.
context: Chise!\Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child. response:	Time passes faster over here.
context: Chise! Chise!\Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here. response:	Come to the other side.
context: Looks like the binding of her ring didn't hold up.\These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side. response:	We can't show her to a human doctor, can we?
context: These Sleigh Beggy children just get weaker and weaker.\Chise's familiar, huh?\How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we? response:	The land of fairies...
context: Chise's familiar, huh?\How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies... response:	Good.
context: How's Chise?\You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies...\Good. response:	Silky, we're going to be away for a while.
context: You need to get in her shadows.\Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies...\Good.\Silky, we're going to be away for a while. response:	Watch the house.
context: Hey, snap out of it, thorn child.\Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies...\Good.\Silky, we're going to be away for a while.\Watch the house. response:	The entrance to the land of the fairies.
context: Time passes faster over here.\Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies...\Good.\Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies. response:	You refused to enter when you last came here.
context: Come to the other side.\We can't show her to a human doctor, can we?\The land of fairies...\Good.\Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here. response:	To think that now I'm taking you inside...
context: We can't show her to a human doctor, can we?\The land of fairies...\Good.\Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside... response:	What a twist of fate.
context: The land of fairies...\Good.\Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate. response:	It's the failure.
context: Good.\Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate.\It's the failure. response:	The half-assed.
context: Silky, we're going to be away for a while.\Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate.\It's the failure.\The half-assed. response:	He smells awful.
context: Watch the house.\The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate.\It's the failure.\The half-assed.\He smells awful. response:	The beloved child.
context: The entrance to the land of the fairies.\You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate.\It's the failure.\The half-assed.\He smells awful.\The beloved child. response:	Adorable.
context: You refused to enter when you last came here.\To think that now I'm taking you inside...\What a twist of fate.\It's the failure.\The half-assed.\He smells awful.\The beloved child.\Adorable. response:	Don't touch.
context: To think that now I'm taking you inside...\What a twist of fate.\It's the failure.\The half-assed.\He smells awful.\The beloved child.\Adorable.\Don't touch. response:	Don't get so hot-headed.
context: What a twist of fate.\It's the failure.\The half-assed.\He smells awful.\The beloved child.\Adorable.\Don't touch.\Don't get so hot-headed. response:	Don't worry, we just met a good doctor.
context: It's the failure.\The half-assed.\He smells awful.\The beloved child.\Adorable.\Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor. response:	She's a bit of an oddball, though.
context: The half-assed.\He smells awful.\The beloved child.\Adorable.\Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though. response:	You can't get up yet.
context: He smells awful.\The beloved child.\Adorable.\Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet. response:	I'm taking the bandage off your eyes.
context: The beloved child.\Adorable.\Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes. response:	Um... Where am I?
context: Adorable.\Don't touch.\Don't get so hot-headed.\Don't worry, we just met a good doctor.\She's a bit of an oddball, though.\You can't get up yet.\I'm taking the bandage off your eyes.\Um... Where am I? response:	This is one of the fairy kingdoms.
