context: This world is filled with dungeons. response:	It is said that some of them even have perilous labyrinths that thwart adventurers.
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers. response:	Undiscovered.
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered. response:	Untrodden.
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden. response:	Unreachable.
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden.\Unreachable. response:	People called these places rich in mystery...
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden.\Unreachable.\People called these places rich in mystery... response:	hidden dungeons!
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden.\Unreachable.\People called these places rich in mystery...\hidden dungeons! response:	Come forth, brave one.
context: This world is filled with dungeons.\It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden.\Unreachable.\People called these places rich in mystery...\hidden dungeons!\Come forth, brave one. response:	I await you on the second floor.
context: It is said that some of them even have perilous labyrinths that thwart adventurers.\Undiscovered.\Untrodden.\Unreachable.\People called these places rich in mystery...\hidden dungeons!\Come forth, brave one.\I await you on the second floor. response:	This way.
context: Undiscovered.\Untrodden.\Unreachable.\People called these places rich in mystery...\hidden dungeons!\Come forth, brave one.\I await you on the second floor.\This way. response:	This way.
context: Untrodden.\Unreachable.\People called these places rich in mystery...\hidden dungeons!\Come forth, brave one.\I await you on the second floor.\This way.\This way. response:	I, Noir Stardia, am the third son of a noble.
context: Unreachable.\People called these places rich in mystery...\hidden dungeons!\Come forth, brave one.\I await you on the second floor.\This way.\This way.\I, Noir Stardia, am the third son of a noble. response:	After graduating from the Jastal Preparatory School,
context: People called these places rich in mystery...\hidden dungeons!\Come forth, brave one.\I await you on the second floor.\This way.\This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School, response:	I decided to pursue a career instead of higher education.
context: hidden dungeons!\Come forth, brave one.\I await you on the second floor.\This way.\This way.\I, Noir Stardia, am the third son of a noble.\After graduating from the Jastal Preparatory School,\I decided to pursue a career instead of higher education. response:	Today was supposed to be my first day on the job, but...
