context: Ah! It's pudding!!! response:	Since no one's home, Sakura's left me
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me response:	lots and LOTS of goodies to eat! ALL MINE!!!
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!! response:	MMM'! So cold, so good. This is the life!
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life! response:	I guess now Sakura should be enjoying in the snow as white as this pudding.
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding. response:	Wow!
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow! response:	Let's go! Next.
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next. response:	Good luck, Sakura-chan!
context: Ah! It's pudding!!!\Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next.\Good luck, Sakura-chan! response:	Tomoyo-chan!
context: Since no one's home, Sakura's left me\lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan! response:	That was great, Sakura-chan!
context: lots and LOTS of goodies to eat! ALL MINE!!!\MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan! response:	It's not that great. I just can move without falling.
context: MMM'! So cold, so good. This is the life!\I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling. response:	But, you're really good Tomoyo-chan!
context: I guess now Sakura should be enjoying in the snow as white as this pudding.\Wow!\Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan! response:	You're good at both ice-skating and skiing!
context: Wow!\Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing! response:	My mother's had me in lessons ever since I was little.
context: Let's go! Next.\Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little. response:	This is your first time, isn't it?
context: Good luck, Sakura-chan!\Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it? response:	Yes.
context: Tomoyo-chan!\That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes. response:	And you're doing so well after only an hour'
context: That was great, Sakura-chan!\It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes.\And you're doing so well after only an hour' response:	That is soo great!
context: It's not that great. I just can move without falling.\But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes.\And you're doing so well after only an hour'\That is soo great! response:	Isn't that Eriol-kun?
context: But, you're really good Tomoyo-chan!\You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes.\And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun? response:	Amazing!!
context: You're good at both ice-skating and skiing!\My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes.\And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun?\Amazing!! response:	Wow! You're amazing, Eriol-kun!
context: My mother's had me in lessons ever since I was little.\This is your first time, isn't it?\Yes.\And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun! response:	Thank you very much!
context: This is your first time, isn't it?\Yes.\And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much! response:	You really can do everything, can't you?
context: Yes.\And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you? response:	You can even ski.
context: And you're doing so well after only an hour'\That is soo great!\Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you?\You can even ski. response:	It's not that hard.
context: That is soo great!\Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you?\You can even ski.\It's not that hard. response:	You're doing well, too, Sakura.
context: Isn't that Eriol-kun?\Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you?\You can even ski.\It's not that hard.\You're doing well, too, Sakura. response:	About skiing'
context: Amazing!!\Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you?\You can even ski.\It's not that hard.\You're doing well, too, Sakura.\About skiing' response:	In ancient times, they used to ski in sandals.
context: Wow! You're amazing, Eriol-kun!\Thank you very much!\You really can do everything, can't you?\You can even ski.\It's not that hard.\You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals. response:	Sandals?
context: Thank you very much!\You really can do everything, can't you?\You can even ski.\It's not that hard.\You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals.\Sandals? response:	But, it must have been
context: You really can do everything, can't you?\You can even ski.\It's not that hard.\You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals.\Sandals?\But, it must have been response:	very difficult to glide in sandals.
context: You can even ski.\It's not that hard.\You're doing well, too, Sakura.\About skiing'\In ancient times, they used to ski in sandals.\Sandals?\But, it must have been\very difficult to glide in sandals. response:	Even so, they managed it.
