context: It was raining... response:	It was raining...
context: It was raining...\It was raining... response:	You're always reading that book, boy.
context: It was raining...\It was raining...\You're always reading that book, boy. response:	Is it that interesting?
context: It was raining...\It was raining...\You're always reading that book, boy.\Is it that interesting? response:	It's good.
context: It was raining...\It was raining...\You're always reading that book, boy.\Is it that interesting?\It's good. response:	I've read it many times now.
context: It was raining...\It was raining...\You're always reading that book, boy.\Is it that interesting?\It's good.\I've read it many times now. response:	There are so many more stories out in the world
context: It was raining...\It was raining...\You're always reading that book, boy.\Is it that interesting?\It's good.\I've read it many times now.\There are so many more stories out in the world response:	that are far more interesting than what's in that book.
context: It was raining...\It was raining...\You're always reading that book, boy.\Is it that interesting?\It's good.\I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book. response:	Where's Part Three?
context: It was raining...\You're always reading that book, boy.\Is it that interesting?\It's good.\I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three? response:	I don't have Part Three.
context: You're always reading that book, boy.\Is it that interesting?\It's good.\I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three. response:	I've looked and looked, but I've never found it.
context: Is it that interesting?\It's good.\I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it. response:	Now it all makes sense.
context: It's good.\I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense. response:	That story's Part Three is the worst of the worst.
context: I've read it many times now.\There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst. response:	You should consider yourself satisfied with just the first two parts.
context: There are so many more stories out in the world\that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts. response:	I'm saying this for your own good.
context: that are far more interesting than what's in that book.\Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good. response:	I'm afraid I can't do that.
context: Where's Part Three?\I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that. response:	Then you write it.
context: I don't have Part Three.\I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it. response:	Me, write?
context: I've looked and looked, but I've never found it.\Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it.\Me, write? response:	That's the only way you can keep that story perfect.
context: Now it all makes sense.\That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it.\Me, write?\That's the only way you can keep that story perfect. response:	To write a story is to write about a person,
context: That story's Part Three is the worst of the worst.\You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it.\Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person, response:	and how that person should live and die.
context: You should consider yourself satisfied with just the first two parts.\I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it.\Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die. response:	From what I've seen, you have the qualifications.
context: I'm saying this for your own good.\I'm afraid I can't do that.\Then you write it.\Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications. response:	Who are you?
context: I'm afraid I can't do that.\Then you write it.\Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you? response:	Me?
context: Then you write it.\Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you?\Me? response:	My name is...
context: Me, write?\That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you?\Me?\My name is... response:	Are you awake, Odasaku?
context: That's the only way you can keep that story perfect.\To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you?\Me?\My name is...\Are you awake, Odasaku? response:	How do you feel?
context: To write a story is to write about a person,\and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you?\Me?\My name is...\Are you awake, Odasaku?\How do you feel? response:	I feel like I'm experiencing all the hangovers I'll have
context: and how that person should live and die.\From what I've seen, you have the qualifications.\Who are you?\Me?\My name is...\Are you awake, Odasaku?\How do you feel?\I feel like I'm experiencing all the hangovers I'll have response:	in the next fifty years all at the same time.
context: From what I've seen, you have the qualifications.\Who are you?\Me?\My name is...\Are you awake, Odasaku?\How do you feel?\I feel like I'm experiencing all the hangovers I'll have\in the next fifty years all at the same time. response:	I saw Ango at the place you told me about.
context: Who are you?\Me?\My name is...\Are you awake, Odasaku?\How do you feel?\I feel like I'm experiencing all the hangovers I'll have\in the next fifty years all at the same time.\I saw Ango at the place you told me about. response:	So Ango was there, like I suspected.
