context: Sympathetic Vibration response:	The shelter is this way.
context: Sympathetic Vibration\The shelter is this way. response:	Gai... don't tell me you're...
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're... response:	No. This is...
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're...\No. This is... response:	Dan!
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're...\No. This is...\Dan! response:	What the hell is this?!
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're...\No. This is...\Dan!\What the hell is this?! response:	T-Terrorists, eh? St-State your conditions!
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're...\No. This is...\Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions! response:	What do you want?
context: Sympathetic Vibration\The shelter is this way.\Gai... don't tell me you're...\No. This is...\Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want? response:	I'm GHQ's Supreme Commander
context: The shelter is this way.\Gai... don't tell me you're...\No. This is...\Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander response:	Unit number 823.
context: Gai... don't tell me you're...\No. This is...\Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander\Unit number 823. response:	It's the same number as my birthday.
context: No. This is...\Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday. response:	Don't you get it?
context: Dan!\What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday.\Don't you get it? response:	I see... you don't even get it.
context: What the hell is this?!\T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday.\Don't you get it?\I see... you don't even get it. response:	You two are obscene!
context: T-Terrorists, eh? St-State your conditions!\What do you want?\I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday.\Don't you get it?\I see... you don't even get it.\You two are obscene! response:	This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.
context: What do you want?\I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday.\Don't you get it?\I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit. response:	I'm afraid that Major General Yan has died tragically today
context: I'm GHQ's Supreme Commander\Unit number 823.\It's the same number as my birthday.\Don't you get it?\I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today response:	in a surprise terrorist attack.
context: Unit number 823.\It's the same number as my birthday.\Don't you get it?\I see... you don't even get it.\You two are obscene!\This is Keido Shuichiro, chief of GHQ's Anti Bodies unit.\I'm afraid that Major General Yan has died tragically today\in a surprise terrorist attack. response:	You worked hard, Lieutenant.
