context: They seem strange and alien. response:	Primitive and peculiar,
context: They seem strange and alien.\Primitive and peculiar, response:	they are unlike any flora or fauna known to us.
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us. response:	Since time immemorial,
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial, response:	men have feared these misshapen entities,
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities, response:	which came to be known as mushi.
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi. response:	And we broke
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\And we broke response:	Everything that was right
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\And we broke\Everything that was right response:	We both enjoyed a good fight
context: Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: men have feared these misshapen entities,\which came to be known as mushi.\And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: which came to be known as mushi.\And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
