context: Moonlight response:	Don't touch me.
context: Moonlight\Don't touch me. response:	But don't move away from me.
context: Moonlight\Don't touch me.\But don't move away from me. response:	Kyouko was like a glass that had cracks in it.
context: Moonlight\Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it. response:	No matter how much water you poured into it, it would never be filled.
context: Moonlight\Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled. response:	She has a family, is blessed with good looks,
context: Moonlight\Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks, response:	and possesses the power to control the people around her.
context: Moonlight\Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her. response:	And yet, like an animal that is always starving,
context: Moonlight\Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving, response:	loneliness ate into her heart.
context: Don't touch me.\But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart. response:	And the ones who put those cracks into her glass were none other than...
context: But don't move away from me.\Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than... response:	my adoptive father...
context: Kyouko was like a glass that had cracks in it.\No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father... response:	and me.
context: No matter how much water you poured into it, it would never be filled.\She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me. response:	I'm leaving home.
context: She has a family, is blessed with good looks,\and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me.\I'm leaving home. response:	I'm in love with him.
context: and possesses the power to control the people around her.\And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me.\I'm leaving home.\I'm in love with him. response:	That guy is no good.
context: And yet, like an animal that is always starving,\loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me.\I'm leaving home.\I'm in love with him.\That guy is no good. response:	He has a wife.
context: loneliness ate into her heart.\And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me.\I'm leaving home.\I'm in love with him.\That guy is no good.\He has a wife. response:	She's been in the hospital forever.
context: And the ones who put those cracks into her glass were none other than...\my adoptive father...\and me.\I'm leaving home.\I'm in love with him.\That guy is no good.\He has a wife.\She's been in the hospital forever. response:	He's been alone all this time.
context: my adoptive father...\and me.\I'm leaving home.\I'm in love with him.\That guy is no good.\He has a wife.\She's been in the hospital forever.\He's been alone all this time. response:	Dad won't forgive you...
context: and me.\I'm leaving home.\I'm in love with him.\That guy is no good.\He has a wife.\She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you... response:	And what?
context: I'm leaving home.\I'm in love with him.\That guy is no good.\He has a wife.\She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you...\And what? response:	I don't forgive him either.
context: I'm in love with him.\That guy is no good.\He has a wife.\She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you...\And what?\I don't forgive him either. response:	I haven't forgotten.
context: That guy is no good.\He has a wife.\She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you...\And what?\I don't forgive him either.\I haven't forgotten. response:	He branded his own daughter a failure when she was just a 2nd-year middle school student.
context: He has a wife.\She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you...\And what?\I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student. response:	He said, There are other things in life than shogi, when he didn't even mean it.
context: She's been in the hospital forever.\He's been alone all this time.\Dad won't forgive you...\And what?\I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it. response:	But it's true.
context: He's been alone all this time.\Dad won't forgive you...\And what?\I don't forgive him either.\I haven't forgotten.\He branded his own daughter a failure when she was just a 2nd-year middle school student.\He said, There are other things in life than shogi, when he didn't even mean it.\But it's true. response:	Shogi isn't everything.
