context: You're Lilah? response:	Arnold?
context: You're Lilah?\Arnold? response:	What's the password?
context: You're Lilah?\Arnold?\What's the password? response:	- Romeo sent me. - He must like you.
context: You're Lilah?\Arnold?\What's the password?\- Romeo sent me. - He must like you. response:	- He knows I'm desperate. - You came to the right man.
context: You're Lilah?\Arnold?\What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man. response:	So, how do we do it?
context: You're Lilah?\Arnold?\What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it? response:	Do you have money?
context: You're Lilah?\Arnold?\What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money? response:	- I didn't know how much... - S500.
context: You're Lilah?\Arnold?\What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money?\- I didn't know how much... - S500. response:	Jesus.
context: Arnold?\What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money?\- I didn't know how much... - S500.\Jesus. response:	They're S20 a pop. I can sell you a packet of 25.
context: What's the password?\- Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money?\- I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25. response:	This is prime stuff. Guaranteed fresh.
context: - Romeo sent me. - He must like you.\- He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money?\- I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh. response:	Could I see them?
context: - He knows I'm desperate. - You came to the right man.\So, how do we do it?\Do you have money?\- I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them? response:	No free samples.
context: So, how do we do it?\Do you have money?\- I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples. response:	Look, this is my cookie-jar money. I've got to see what I'm buying.
context: Do you have money?\- I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying. response:	Never let it be said...
context: - I didn't know how much... - S500.\Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said... response:	What does a Polish girl get that's long and hard when she gets married?
context: Jesus.\They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married? response:	Where's the punchline?
context: They're S20 a pop. I can sell you a packet of 25.\This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline? response:	That's what you pay me for.
context: This is prime stuff. Guaranteed fresh.\Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for. response:	Speaking of marriage, I'm married to a Polish man.
context: Could I see them?\No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man. response:	I don't know if you know Polish men...
context: No free samples.\Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men... response:	- You know what? - Yeah, a last name.
context: Look, this is my cookie-jar money. I've got to see what I'm buying.\Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name. response:	You heard that one, huh?
context: Never let it be said...\What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh? response:	I hate Wilma Flintstone. I want to talk about it.
context: What does a Polish girl get that's long and hard when she gets married?\Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it. response:	I think she's a fucking bitch.
context: Where's the punchline?\That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch. response:	I'm from New York, from a large family. There are 10 kids in my family.
context: That's what you pay me for.\Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family. response:	That's a lot of kids, Jack. My father has stretch marks.
context: Speaking of marriage, I'm married to a Polish man.\I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks. response:	There's a bunch of us.
context: I don't know if you know Polish men...\- You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us. response:	I know you're all staring at me thinking, My God, look at this girl.
context: - You know what? - Yeah, a last name.\You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl. response:	She looks so much like Diana Ross. I can't get over it.
context: You heard that one, huh?\I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it. response:	I'm going to do an impression...
context: I hate Wilma Flintstone. I want to talk about it.\I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression... response:	Sweetheart, please, just a sandwich.
context: I think she's a fucking bitch.\I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich. response:	My wife bought alligator gloves. I said, Why the gloves?
context: I'm from New York, from a large family. There are 10 kids in my family.\That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves? response:	I'll tell them I got a skin condition.
context: That's a lot of kids, Jack. My father has stretch marks.\There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition. response:	Have you tried Leech Off?
context: There's a bunch of us.\I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off? response:	Leech Off works naturally with hydrochloric acid.
context: I know you're all staring at me thinking, My God, look at this girl.\She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid. response:	Just a few drops in each eye, you can kiss those leeches goodbye.
context: She looks so much like Diana Ross. I can't get over it.\I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye. response:	We were making love the other night. I felt he was holding back.
context: I'm going to do an impression...\Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back. response:	So I said, Sweetheart, we've been married for 15 years.
context: Sweetheart, please, just a sandwich.\My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years. response:	When we make love, I don't want you to hold back.
context: My wife bought alligator gloves. I said, Why the gloves?\I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back. response:	I want you to do whatever you want to do.
context: I'll tell them I got a skin condition.\Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do. response:	So you know what he did? He threw up.
context: Have you tried Leech Off?\Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up. response:	The thing about being married to a Polish man...
context: Leech Off works naturally with hydrochloric acid.\Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man... response:	The first physical contact I had with a woman came very early in life.
context: Just a few drops in each eye, you can kiss those leeches goodbye.\We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life. response:	I saw a girl dancing, I went up and bit her on the chest.
context: We were making love the other night. I felt he was holding back.\So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest. response:	Slaughter? They're saving the whales...
context: So I said, Sweetheart, we've been married for 15 years.\When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales... response:	Hollywood's newest concept for a wax museum comes from an ear doctor...
context: When we make love, I don't want you to hold back.\I want you to do whatever you want to do.\So you know what he did? He threw up.\The thing about being married to a Polish man...\The first physical contact I had with a woman came very early in life.\I saw a girl dancing, I went up and bit her on the chest.\Slaughter? They're saving the whales...\Hollywood's newest concept for a wax museum comes from an ear doctor... response:	I don't want to argue with you, please, with the stereotypes.
