context: Subaru-kun! response:	Wh-What happened? What the hell is going on?!
context: Subaru-kun!\Wh-What happened? What the hell is going on?! response:	Subaru-kun, stay down.
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down. response:	We've lost our Windbreak protection!
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection! response:	You didn't know?
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know? response:	Only one being with such a huge body can fly through fog!
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog! response:	The White Whale!
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale! response:	Rem, do you see the White Whale?
context: Subaru-kun!\Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale? response:	I cannot! It's too dark!
context: Wh-What happened? What the hell is going on?!\Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark! response:	What happened to the other carriages?
context: Subaru-kun, stay down.\We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages? response:	They seem to have scattered.
context: We've lost our Windbreak protection!\You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered. response:	But I do not know where they have fled!
context: You didn't know?\Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled! response:	Damn it!
context: Only one being with such a huge body can fly through fog!\The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled!\Damn it! response:	After we finally found some transportation...
context: The White Whale!\Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled!\Damn it!\After we finally found some transportation... response:	Run past it, to the left!
context: Rem, do you see the White Whale?\I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled!\Damn it!\After we finally found some transportation...\Run past it, to the left! response:	Left, left, left, left, left, left, left!
context: I cannot! It's too dark!\What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled!\Damn it!\After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left! response:	Eat this!
context: What happened to the other carriages?\They seem to have scattered.\But I do not know where they have fled!\Damn it!\After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this! response:	D-Did you get it?
context: They seem to have scattered.\But I do not know where they have fled!\Damn it!\After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this!\D-Did you get it? response:	It didn't work.
context: But I do not know where they have fled!\Damn it!\After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this!\D-Did you get it?\It didn't work. response:	Wh-Why is it targeting us?
context: Damn it!\After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this!\D-Did you get it?\It didn't work.\Wh-Why is it targeting us? response:	There are other carriages out there!
context: After we finally found some transportation...\Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this!\D-Did you get it?\It didn't work.\Wh-Why is it targeting us?\There are other carriages out there! response:	Complaining won't change anything!
context: Run past it, to the left!\Left, left, left, left, left, left, left!\Eat this!\D-Did you get it?\It didn't work.\Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything! response:	Think... Think, think!
context: Left, left, left, left, left, left, left!\Eat this!\D-Did you get it?\It didn't work.\Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything!\Think... Think, think! response:	We need a way out!
context: Eat this!\D-Did you get it?\It didn't work.\Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything!\Think... Think, think!\We need a way out! response:	Isn't there something? Anything, anything, anything?!
context: D-Did you get it?\It didn't work.\Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything!\Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?! response:	Subaru-kun...
context: It didn't work.\Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything!\Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun... response:	Please accept this.
context: Wh-Why is it targeting us?\There are other carriages out there!\Complaining won't change anything!\Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this. response:	Did you come up with something?
context: There are other carriages out there!\Complaining won't change anything!\Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this.\Did you come up with something? response:	I shall get off the carriage and intercept it.
context: Complaining won't change anything!\Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it. response:	In the meantime, you escape the fog.
context: Think... Think, think!\We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog. response:	Otto-sama, please take care of Subaru-kun.
context: We need a way out!\Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun. response:	He has the payment we promised you.
context: Isn't there something? Anything, anything, anything?!\Subaru-kun...\Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you. response:	P-Payment?
context: Subaru-kun...\Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment? response:	That's the least of our problems now!
context: Please accept this.\Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment?\That's the least of our problems now! response:	We have to stay alive first!
context: Did you come up with something?\I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment?\That's the least of our problems now!\We have to stay alive first! response:	Subaru-kun, I am not very smart,
context: I shall get off the carriage and intercept it.\In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment?\That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart, response:	so this is the only plan I can think of.
context: In the meantime, you escape the fog.\Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment?\That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of. response:	Please...
context: Otto-sama, please take care of Subaru-kun.\He has the payment we promised you.\P-Payment?\That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please... response:	H-Hold on, Rem!
context: He has the payment we promised you.\P-Payment?\That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please...\H-Hold on, Rem! response:	I won't let you! I won't let you go!
context: P-Payment?\That's the least of our problems now!\We have to stay alive first!\Subaru-kun, I am not very smart,\so this is the only plan I can think of.\Please...\H-Hold on, Rem!\I won't let you! I won't let you go! response:	If... If you also die, I'll...
