context: A Super-Huge Genki Dama - I'm Playing My Last Card!! response:	It's no good. Not even with Goku's 20x Kaio-ken.
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken. response:	How can it be? That didn't have much effect on him at all!
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all! response:	He wasn't bluffing this time either!
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either! response:	H- He really hasn't been using any more than half of his power!
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power! response:	Ow, ow ow! Where am I?
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I? response:	Let's see... I was a frog, and the frog was me, and Kuririn was there...
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there... response:	Um, and Son-kun might have been there...
context: A Super-Huge Genki Dama - I'm Playing My Last Card!!\It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there... response:	Enough! What's taking Son-kun so long? Just take care of those aliens, already!
context: It's no good. Not even with Goku's 20x Kaio-ken.\How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already! response:	This planet really is the worst!
context: How can it be? That didn't have much effect on him at all!\He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst! response:	I've found you! This is your fault! You won't get away with it!
context: He wasn't bluffing this time either!\H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it! response:	Unbelievable! Goku's Kamehame-Ha just now had incredible power!
context: H- He really hasn't been using any more than half of his power!\Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power! response:	Y- Yeah...
context: Ow, ow ow! Where am I?\Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah... response:	Why, then?
context: Let's see... I was a frog, and the frog was me, and Kuririn was there...\Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then? response:	Why is it that Freeza has barely taken any damage, then?
context: Um, and Son-kun might have been there...\Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then? response:	Father's Ki has dropped considerably!
context: Enough! What's taking Son-kun so long? Just take care of those aliens, already!\This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably! response:	To think that a guy like that could exist in this world!
context: This planet really is the worst!\I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world! response:	It's utterly lost.
context: I've found you! This is your fault! You won't get away with it!\Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost. response:	It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.
context: Unbelievable! Goku's Kamehame-Ha just now had incredible power!\Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza. response:	T- That was a close one!
context: Y- Yeah...\Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one! response:	How!? How does that lower life form Saiyan have such awesome power?
context: Why, then?\Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power? response:	This is the first time anyone has done this much harm to my body!
context: Why is it that Freeza has barely taken any damage, then?\Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body! response:	You damn Saiyan!
context: Father's Ki has dropped considerably!\To think that a guy like that could exist in this world!\It's utterly lost.\It's just as Kaio said. No matter what, we should have kept our hands off of Freeza.\T- That was a close one!\How!? How does that lower life form Saiyan have such awesome power?\This is the first time anyone has done this much harm to my body!\You damn Saiyan! response:	That one... hurt.
