context: Fifty years earlier, falling right into a trap laid by Naraku, response:	Inuyasha and Kikyo ended up hating and trying to kill each other.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other. response:	I broke the seal that bound Inuyasha.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha. response:	And Kikyo also was resurrected through Urasue's black magic.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic. response:	I think it's false that a mortal cannot understand a demon's feelings.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings. response:	Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara. response:	But I can't fathom the pain of someone who once died as Kikyo did.
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did. response:	Kikyo... Will the day come when the pain in yourheart subsides?
context: Fifty years earlier, falling right into a trap laid by Naraku,\Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides? response:	That girl...
context: Inuyasha and Kikyo ended up hating and trying to kill each other.\I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl... response:	Soul Collectors?
context: I broke the seal that bound Inuyasha.\And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors? response:	What are they doing here?
context: And Kikyo also was resurrected through Urasue's black magic.\I think it's false that a mortal cannot understand a demon's feelings.\Afterall, I share a kinship with Inuyasha and Shippo, and even Kirara.\But I can't fathom the pain of someone who once died as Kikyo did.\Kikyo... Will the day come when the pain in yourheart subsides?\That girl...\Soul Collectors?\What are they doing here? response:	Don't interfere...
