context: Raven Tail... response:	Molding Magic wizard...
context: Raven Tail...\Molding Magic wizard... response:	I swear I'll get you both back!
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back! response:	This is the first day of the Grand Magic Games.
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games. response:	The competition part is already over,
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over, response:	with our Fairy Tail B team getting one point for coming in 7th place,
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place, response:	and zero points for coming in last place!
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place! response:	That Rufus guy was totally strong, you know?
context: Raven Tail...\Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know? response:	Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,
context: Molding Magic wizard...\I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail, response:	so they couldn't do proper battle.
context: I swear I'll get you both back!\This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle. response:	The second half of today's Games is the battle part.
context: This is the first day of the Grand Magic Games.\The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part. response:	Like the name implies, it's a one-on-one showdown.
context: The competition part is already over,\with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown. response:	With the battle part, you get ten points for winning and zero points if you lose.
context: with our Fairy Tail B team getting one point for coming in 7th place,\and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose. response:	If it's a draw, each side gets five points.
context: and zero points for coming in last place!\That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points. response:	If we win here, we can still make it to the top!
context: That Rufus guy was totally strong, you know?\Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top! response:	The Games have just begun!
context: Meanwhile, Raven Tail wouldn't stop picking on Fairy Tail,\so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun! response:	Do your best, Fairy Tail!
context: so they couldn't do proper battle.\The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail! response:	Lucy Versus Flare!
context: The second half of today's Games is the battle part.\Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare! response:	Did you watch the competition part?
context: Like the name implies, it's a one-on-one showdown.\With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part? response:	Yes, on Lacrima Vision.
context: With the battle part, you get ten points for winning and zero points if you lose.\If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision. response:	The battle part is about to begin...
context: If it's a draw, each side gets five points.\If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin... response:	I'll observe that directly with my own eyes.
context: If we win here, we can still make it to the top!\The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes. response:	It looks like I can expect an unusual harvest this year.
context: The Games have just begun!\Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year. response:	The first match of the first day!
context: Do your best, Fairy Tail!\Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day! response:	From Fairy Tail A, Lucy Heartfilia!
context: Lucy Versus Flare!\Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia! response:	Versus Flare Corona from Raven Tail!
context: Did you watch the competition part?\Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail! response:	Blondie...
context: Yes, on Lacrima Vision.\The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie... response:	Lucy! Show her the results of your training!
context: The battle part is about to begin...\I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training! response:	If you win here, we can still go on!
context: I'll observe that directly with my own eyes.\It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on! response:	Kick her ass!
context: It looks like I can expect an unusual harvest this year.\The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass! response:	Raven Tail...
context: The first match of the first day!\From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass!\Raven Tail... response:	They said they hurt Wendy by way of greeting?!
context: From Fairy Tail A, Lucy Heartfilia!\Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?! response:	And in the competition, they prioritized interfering with Gray over winning!
context: Versus Flare Corona from Raven Tail!\Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning! response:	I'm angry...
context: Blondie...\Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry... response:	Count on me.
context: Lucy! Show her the results of your training!\If you win here, we can still go on!\Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me. response:	I swear I'll win!
context: If you win here, we can still go on!\Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me.\I swear I'll win! response:	I like that look.
context: Kick her ass!\Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me.\I swear I'll win!\I like that look. response:	Lucy's really fired up...
context: Raven Tail...\They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me.\I swear I'll win!\I like that look.\Lucy's really fired up... response:	It's because her opponent's from Ivan's stupid guild!
context: They said they hurt Wendy by way of greeting?!\And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me.\I swear I'll win!\I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild! response:	Tear her to pieces!
context: And in the competition, they prioritized interfering with Gray over winning!\I'm angry...\Count on me.\I swear I'll win!\I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces! response:	What's wrong, First Master?
context: I'm angry...\Count on me.\I swear I'll win!\I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master? response:	I'm wondering what Raven Tail's after...
context: Count on me.\I swear I'll win!\I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after... response:	It's gotta be making us look like imbeciles!
context: I swear I'll win!\I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles! response:	They really know how to get under a guy's skin!
context: I like that look.\Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin! response:	I hope that's all it is...
context: Lucy's really fired up...\It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is... response:	Apparently, the masters of these two guilds are father and son, Yajima-san!
context: It's because her opponent's from Ivan's stupid guild!\Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san! response:	True, but if they bear the insignia of different guilds,
context: Tear her to pieces!\What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds, response:	it doesn't matter if they're parent and child.
context: What's wrong, First Master?\I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child. response:	It's so dramatic! I'm getting the chills!
context: I'm wondering what Raven Tail's after...\It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills! response:	Both of you, come forward!
context: It's gotta be making us look like imbeciles!\They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward! response:	Since this entire area will be your battlefield,
context: They really know how to get under a guy's skin!\I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield, response:	only you two will be in here.
context: I hope that's all it is...\Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here. response:	Your time limit is 30 minutes.
context: Apparently, the masters of these two guilds are father and son, Yajima-san!\True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes. response:	B-Blondie...
context: True, but if they bear the insignia of different guilds,\it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes.\B-Blondie... response:	I'm not gonna lose!
context: it doesn't matter if they're parent and child.\It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose! response:	During that time, if you knock out your opponent, you win.
context: It's so dramatic! I'm getting the chills!\Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win. response:	Alright, let the first match...
context: Both of you, come forward!\Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match... response:	Here I go!
context: Since this entire area will be your battlefield,\only you two will be in here.\Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go! response:	Gate of the Golden Bull, I open thee! Taurus!
context: only you two will be in here.\Your time limit is 30 minutes.\B-Blondie...\I'm not gonna lose!\During that time, if you knock out your opponent, you win.\Alright, let the first match...\Here I go!\Gate of the Golden Bull, I open thee! Taurus! response:	Mooore power!
