context: J To catch them is my real test J response:	J To train them is my cause J
context: J To catch them is my real test J\J To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J response:	J Pokemon! Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test J\J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through J
context: J To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all, gotta catch'em all Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J response:	Pikachu, go!
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go! response:	Pika!
context: J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika! response:	Youll remember in an earlier Pokemon adventure,
context: J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure, response:	our hero Ash achieved his dream of catching a Bulbasaur.
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur. response:	It was a shocking victory!
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory! response:	Go, Poke Ball!
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball! response:	And so Bulbasaur joined the ranks!
context: J Gotta catch'em all, gotta catch'em all Pokemon! J\Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks! response:	Soon Misty, Brock and Ash lost their way, but found a Charmander.
context: Pikachu, go!\Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander. response:	Braving a fierce storm, Ash and his friends came to its rescue.
context: Pika!\Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue. response:	Abandoned by its trainer, the fire Pokemon recovered its strength
context: Youll remember in an earlier Pokemon adventure,\our hero Ash achieved his dream of catching a Bulbasaur.\It was a shocking victory!\Go, Poke Ball!\And so Bulbasaur joined the ranks!\Soon Misty, Brock and Ash lost their way, but found a Charmander.\Braving a fierce storm, Ash and his friends came to its rescue.\Abandoned by its trainer, the fire Pokemon recovered its strength response:	and gained some new friends!
