context: Wh-Who are you... response:	I'll just tell you.
context: Wh-Who are you...\I'll just tell you. response:	It's Megumu-san.
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san. response:	Trip.
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san.\Trip. response:	Why did you tell him, Ruri-chan?!
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?! response:	I thought it'd be better if we didn't let this drag out.
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out. response:	Megumu, why are you...
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you... response:	My sisters came and are staying nearby,
context: Wh-Who are you...\I'll just tell you.\It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby, response:	so they snuck into our place and
context: I'll just tell you.\It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and response:	switched all my clothes for girls clothes...
context: It's Megumu-san.\Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes... response:	Oh, I see.
context: Trip.\Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see. response:	Well, I'm sorry for worrying you, anyway.
context: Why did you tell him, Ruri-chan?!\I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway. response:	No, I'm glad you're okay.
context: I thought it'd be better if we didn't let this drag out.\Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay. response:	If Her Flag Breaks
context: Megumu, why are you...\My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks response:	Flag 7
context: My sisters came and are staying nearby,\so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks\Flag 7 response:	I Learned Something Amazing. I'll Hide Myself Before I can be Erased
context: so they snuck into our place and\switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased response:	So you agreed to be brother and sister...
context: switched all my clothes for girls clothes...\Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister... response:	That's right.
context: Oh, I see.\Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right. response:	I'm now Souta-oniichan's little sister.
context: Well, I'm sorry for worrying you, anyway.\No, I'm glad you're okay.\If Her Flag Breaks\Flag 7\I Learned Something Amazing. I'll Hide Myself Before I can be Erased\So you agreed to be brother and sister...\That's right.\I'm now Souta-oniichan's little sister. response:	That's nice!
