context: OP end ED start response:	ED End
context: OP end ED start\ED End response:	< Cut to: Commander's Office - Morning - Window shadow on tile >
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile > response:	< Dramatic cut >
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut > response:	When you walk through a storm
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm response:	Hold your head up high
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm\Hold your head up high response:	And don't be afraid of the dark
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm\Hold your head up high\And don't be afraid of the dark response:	At the end of a storm is a golden sky
context: OP end ED start\ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm\Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky response:	And the sweet silver song of a lark >
context: ED End\< Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm\Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark > response:	Them popes. Gettin' that groove on.
context: < Cut to: Commander's Office - Morning - Window shadow on tile >\< Dramatic cut >\When you walk through a storm\Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on. response:	Intermission
context: < Dramatic cut >\When you walk through a storm\Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission response:	ONE MORE TIME, ONE MORE CHANCE
context: When you walk through a storm\Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE response:	The brilliant glow of this sky, does it carry right into your heart?
context: Hold your head up high\And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: And don't be afraid of the dark\At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: At the end of a storm is a golden sky\And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: And the sweet silver song of a lark >\Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: Them popes. Gettin' that groove on.\Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: Intermission\ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: ONE MORE TIME, ONE MORE CHANCE\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Love and friendship - put these feelings together
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together response:	And sing of how important they are
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just walk it slowly
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly response:	Everybody singing!
context: In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing! response:	Just tell me a bit of what you think
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, little happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever response:	Can you hear my precious note?
context: Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note? response:	All these words that there are can't even describe it.
context: Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it. response:	Our harmony
context: Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony response:	Rio!
context: Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\Rio! response:	Good work!
context: I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\Rio!\Good work! response:	The parts?
context: I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\Rio!\Good work!\The parts? response:	We were able to get them!
context: Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\Rio!\Good work!\The parts?\We were able to get them! response:	You can find them if you look hard enough!
context: All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony\Rio!\Good work!\The parts?\We were able to get them!\You can find them if you look hard enough! response:	It's so warm.
context: Our harmony\Can you hear it? Our harmony\Rio!\Good work!\The parts?\We were able to get them!\You can find them if you look hard enough!\It's so warm. response:	Like coming back to life.
context: Can you hear it? Our harmony\Rio!\Good work!\The parts?\We were able to get them!\You can find them if you look hard enough!\It's so warm.\Like coming back to life. response:	Wait...
context: Rio!\Good work!\The parts?\We were able to get them!\You can find them if you look hard enough!\It's so warm.\Like coming back to life.\Wait... response:	Was it your turn to clean the yard, Rio?
context: Good work!\The parts?\We were able to get them!\You can find them if you look hard enough!\It's so warm.\Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio? response:	There was something I wanted to burn.
context: The parts?\We were able to get them!\You can find them if you look hard enough!\It's so warm.\Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn. response:	So it's been half a year since Kanata came to the fortress.
context: We were able to get them!\You can find them if you look hard enough!\It's so warm.\Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress. response:	She's gotten pretty good.
context: You can find them if you look hard enough!\It's so warm.\Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good. response:	She has a good teacher.
context: It's so warm.\Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher. response:	Ouch.
context: Like coming back to life.\Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher.\Ouch. response:	Looks like I can put away those old earplugs.
context: Wait...\Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher.\Ouch.\Looks like I can put away those old earplugs. response:	Madame, don't you think you should stay in town this winter?
context: Was it your turn to clean the yard, Rio?\There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher.\Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter? response:	Don't need to.
context: There was something I wanted to burn.\So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher.\Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to. response:	I won't die that easily.
context: So it's been half a year since Kanata came to the fortress.\She's gotten pretty good.\She has a good teacher.\Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily. response:	I've been alone on this mountain for fifty years.
context: She's gotten pretty good.\She has a good teacher.\Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years. response:	Departure - When the Snow First Falls
context: She has a good teacher.\Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls response:	Keep going. Keep going. Keep going.
context: Ouch.\Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going. response:	Stop!
context: Looks like I can put away those old earplugs.\Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop! response:	It's starting to look like a real tank now.
context: Madame, don't you think you should stay in town this winter?\Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now. response:	Are you sure you sure you can do the rest yourself, Noel?
context: Don't need to.\I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel? response:	Yes. Happiness.
context: I won't die that easily.\I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness. response:	How about taking some tea?
context: I've been alone on this mountain for fifty years.\Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea? response:	Okay.
context: Departure - When the Snow First Falls\Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea?\Okay. response:	Actually, Kureha...
context: Keep going. Keep going. Keep going.\Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea?\Okay.\Actually, Kureha... response:	That's weird...
context: Stop!\It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea?\Okay.\Actually, Kureha...\That's weird... response:	Where is it?
context: It's starting to look like a real tank now.\Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea?\Okay.\Actually, Kureha...\That's weird...\Where is it? response:	It's supposed to be here...
context: Are you sure you sure you can do the rest yourself, Noel?\Yes. Happiness.\How about taking some tea?\Okay.\Actually, Kureha...\That's weird...\Where is it?\It's supposed to be here... response:	My, why are you two here?
