context: The Principality of Pastillage response:	The opening of the joint event
context: The Principality of Pastillage\The opening of the joint event response:	between the three countries is drawing closer.
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer. response:	For those discussions,
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer.\For those discussions, response:	the princess from Biscotti and Leo-sama from Galette,
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette, response:	are making their way toward Pastillage.
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage. response:	Castle Eschenbach
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach response:	Of course, the heroes are all accompanying their lieges...
context: The Principality of Pastillage\The opening of the joint event\between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges... response:	So today, the three of us will be reunited in the castle.
context: The opening of the joint event\between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle. response:	Pastillage's Hero King Legend
context: between the three countries is drawing closer.\For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend response:	All right, let's begin the final discussions.
context: For those discussions,\the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions. response:	Then let's decide on the pending issues.
context: the princess from Biscotti and Leo-sama from Galette,\are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues. response:	I have to say, ladies, you are looking especially...
context: are making their way toward Pastillage.\Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially... response:	So are you, Cou-sama!
context: Castle Eschenbach\Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama! response:	Your tail is looking especially luxurious.
context: Of course, the heroes are all accompanying their lieges...\So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious. response:	That's because Rebecca is brushing
context: So today, the three of us will be reunited in the castle.\Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing response:	it so gently all the time.
context: Pastillage's Hero King Legend\All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time. response:	That's how my hair and my tail have become so fluffy.
context: All right, let's begin the final discussions.\Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy. response:	Wow!
context: Then let's decide on the pending issues.\I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow! response:	I see.
context: I have to say, ladies, you are looking especially...\So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow!\I see. response:	Truth be told,
context: So are you, Cou-sama!\Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow!\I see.\Truth be told, response:	Nanami has been treating me to Earth-style oil massages.
context: Your tail is looking especially luxurious.\That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow!\I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages. response:	It makes my skin resplendent!
context: That's because Rebecca is brushing\it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow!\I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent! response:	This morning, Sink played with me at the lake...
context: it so gently all the time.\That's how my hair and my tail have become so fluffy.\Wow!\I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake... response:	and, after that, he even braided my hair!
context: That's how my hair and my tail have become so fluffy.\Wow!\I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair! response:	Ah !
context: Wow!\I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah ! response:	That hair-style does look very cute!
context: I see.\Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah !\That hair-style does look very cute! response:	I even put in my favorite ribbon.
context: Truth be told,\Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah !\That hair-style does look very cute!\I even put in my favorite ribbon. response:	Hmm, it looks like the leaders of the three countries
context: Nanami has been treating me to Earth-style oil massages.\It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah !\That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries response:	have worthy Heroes looking after them.
context: It makes my skin resplendent!\This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah !\That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them. response:	That's right.
context: This morning, Sink played with me at the lake...\and, after that, he even braided my hair!\Ah !\That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right. response:	I'm so happy.
context: and, after that, he even braided my hair!\Ah !\That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right.\I'm so happy. response:	You can say that again.
context: Ah !\That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right.\I'm so happy.\You can say that again. response:	Leo-sama is so cute.
context: That hair-style does look very cute!\I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right.\I'm so happy.\You can say that again.\Leo-sama is so cute. response:	I'm so happy!
context: I even put in my favorite ribbon.\Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right.\I'm so happy.\You can say that again.\Leo-sama is so cute.\I'm so happy! response:	My Cou-sama is really cute, too.
context: Hmm, it looks like the leaders of the three countries\have worthy Heroes looking after them.\That's right.\I'm so happy.\You can say that again.\Leo-sama is so cute.\I'm so happy!\My Cou-sama is really cute, too. response:	She's so healthy and happy
