context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	And so, we're giving you your first mission.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission. response:	Our first mission...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission... response:	Wh-What is it?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission...\Wh-What is it? response:	It had better be something worthy of me as a royal.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal. response:	Yeah, you should be honored.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored. response:	You'll be hunting wild boars in Saussy Village!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored.\You'll be hunting wild boars in Saussy Village! response:	Wild...
context: He was called the Wizard King, and he became a legend.\And so, we're giving you your first mission.\Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored.\You'll be hunting wild boars in Saussy Village!\Wild... response:	Boar!
context: And so, we're giving you your first mission.\Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored.\You'll be hunting wild boars in Saussy Village!\Wild...\Boar! response:	What kind of lame mission is that?
context: Our first mission...\Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored.\You'll be hunting wild boars in Saussy Village!\Wild...\Boar!\What kind of lame mission is that? response:	What are you calling lame?!
context: Wh-What is it?\It had better be something worthy of me as a royal.\Yeah, you should be honored.\You'll be hunting wild boars in Saussy Village!\Wild...\Boar!\What kind of lame mission is that?\What are you calling lame?! response:	I can beat a wild boar with my bare hands!
