context: Ladies and gentlemen, good evening. response:	When he learned something of his mother's past,
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past, response:	However, he is still unaware.
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware. response:	Still unaware of the true identity of the man who brought this look to her face.
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face. response:	Act 5: Do You Love Your Fiancee?
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee? response:	I can't believe I'm seeing sights like this underneath the Champs Elysees.
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees. response:	It's like a dream.
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream. response:	Perhaps this truly is but a dream.
context: Ladies and gentlemen, good evening.\When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream. response:	At times, I find myself forced to consider that possibility.
context: When he learned something of his mother's past,\However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility. response:	In that case, here's an eye-opening question for you. How much did you sink into this?
context: However, he is still unaware.\Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this? response:	How much did this dream house of yours set you back?
context: Still unaware of the true identity of the man who brought this look to her face.\Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back? response:	We stopped bothering with hassles like keeping track of the money...
context: Act 5: Do You Love Your Fiancee?\I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money... response:	Thanks for that reply. It'll make a great headline.
context: I can't believe I'm seeing sights like this underneath the Champs Elysees.\It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline. response:	Where's that music coming from?
context: It's like a dream.\Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from? response:	There!
context: Perhaps this truly is but a dream.\At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There! response:	She's the girl from the opera!
context: At times, I find myself forced to consider that possibility.\In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There!\She's the girl from the opera! response:	She's beautiful...
context: In that case, here's an eye-opening question for you. How much did you sink into this?\How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There!\She's the girl from the opera!\She's beautiful... response:	You're not gonna try and tell us that she's artificial, too, are you?
context: How much did this dream house of yours set you back?\We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There!\She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you? response:	Don't be rude! She's...
context: We stopped bothering with hassles like keeping track of the money...\Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There!\She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's... response:	She is a doll named Haidee.
context: Thanks for that reply. It'll make a great headline.\Where's that music coming from?\There!\She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee. response:	A poor puppet who still lives, even after her soul has been stolen away.
context: Where's that music coming from?\There!\She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away. response:	Haidee obeys my every whim,
context: There!\She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim, response:	You're kidding...
context: She's the girl from the opera!\She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding... response:	Don't be so surprised. This is the Count of Monte Cristo we're talking about.
context: She's beautiful...\You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about. response:	He renounced his soul ages ago.
context: You're not gonna try and tell us that she's artificial, too, are you?\Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago. response:	Am I wrong?
context: Don't be rude! She's...\She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong? response:	You're going too far, Beauchamp!
context: She is a doll named Haidee.\A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp! response:	How else could a man amass a fortune like this in one lifetime?
context: A poor puppet who still lives, even after her soul has been stolen away.\Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime? response:	I'm afraid... I must agree.
context: Haidee obeys my every whim,\You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree. response:	Why are you all acting like this?
context: You're kidding...\Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this? response:	Listen, the Count isn't as cold a man as you think he is.
context: Don't be so surprised. This is the Count of Monte Cristo we're talking about.\He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is. response:	Isn't that right, Count?
context: He renounced his soul ages ago.\Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count? response:	I would not know. I cannot see myself.
context: Am I wrong?\You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself. response:	H-Hello.
context: You're going too far, Beauchamp!\How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello. response:	Who's that?
context: How else could a man amass a fortune like this in one lifetime?\I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello.\Who's that? response:	He is Ali. Like Haidee, he is a noble doll that I own.
context: I'm afraid... I must agree.\Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own. response:	Haidee, the Viscount seems perplexed...
context: Why are you all acting like this?\Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed... response:	I am but a humble twig that allows the Count to bloom.
context: Listen, the Count isn't as cold a man as you think he is.\Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom. response:	A graceful girl like her is the twig, and the Count is the flower, huh?
context: Isn't that right, Count?\I would not know. I cannot see myself.\H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh? response:	Are you happy like this?
context: I would not know. I cannot see myself.\H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this? response:	I know the joy of making the flowers bloom.
context: H-Hello.\Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom. response:	But...
context: Who's that?\He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom.\But... response:	Does my harp's music sound gloomy?
context: He is Ali. Like Haidee, he is a noble doll that I own.\Haidee, the Viscount seems perplexed...\I am but a humble twig that allows the Count to bloom.\A graceful girl like her is the twig, and the Count is the flower, huh?\Are you happy like this?\I know the joy of making the flowers bloom.\But...\Does my harp's music sound gloomy? response:	No.
