context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through You teach me and I'll teach you J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J response:	J Pokemon! Gotta catch'em all J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J response:	J Gotta catch'em all Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J response:	To protect the world from devastation.
context: J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation. response:	To unite all peoples within our nation.
context: J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation. response:	To denounce the evils of truth and love.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love. response:	To extend our reach to the stars above.
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above. response:	-Jessie. -James.
context: J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James. response:	Meowth. I don't get why you two are always talking
context: J Pokemon! Gotta catch'em all J\J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking response:	and I'm stuck doing all the work!
context: J Gotta catch'em all Pokemon! J\To protect the world from devastation.\To unite all peoples within our nation.\To denounce the evils of truth and love.\To extend our reach to the stars above.\-Jessie. -James.\Meowth. I don't get why you two are always talking\and I'm stuck doing all the work! response:	We haven't got much time.
