context: It was a story of two queens. response:	It was a story of death and rebirth.
context: It was a story of two queens.\It was a story of death and rebirth. response:	It was the sad tale about these
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these response:	strange flags and the heroes involved with them.
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them. response:	There was once a peaceful country that
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that response:	two beautiful princesses ruled.
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled. response:	But the country was
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled.\But the country was response:	plunged into darkness by demons.
context: It was a story of two queens.\It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled.\But the country was\plunged into darkness by demons. response:	The goddess in heaven was tainted by the darkness,
context: It was a story of death and rebirth.\It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled.\But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness, response:	and she entrusted her power to a boy who was soon to die.
context: It was the sad tale about these\strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled.\But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die. response:	She altered his appearance, changing him into a single flag.
context: strange flags and the heroes involved with them.\There was once a peaceful country that\two beautiful princesses ruled.\But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag. response:	It was the Royal Flag that was to change the fate of the kingdom.
context: There was once a peaceful country that\two beautiful princesses ruled.\But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom. response:	The light which would drive away the darkness.
context: two beautiful princesses ruled.\But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness. response:	To drive away the despair
context: But the country was\plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair response:	that threatened the kingdom,
context: plunged into darkness by demons.\The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom, response:	the princesses and heroes fought...
context: The goddess in heaven was tainted by the darkness,\and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom,\the princesses and heroes fought... response:	But
context: and she entrusted her power to a boy who was soon to die.\She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom,\the princesses and heroes fought...\But response:	the knight, magician,
context: She altered his appearance, changing him into a single flag.\It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom,\the princesses and heroes fought...\But\the knight, magician, response:	bishop, and ninja lost their lives at the first gate.
context: It was the Royal Flag that was to change the fate of the kingdom.\The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom,\the princesses and heroes fought...\But\the knight, magician,\bishop, and ninja lost their lives at the first gate. response:	At the second gate,
context: The light which would drive away the darkness.\To drive away the despair\that threatened the kingdom,\the princesses and heroes fought...\But\the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate, response:	the samurai fell victim to a curse while protecting the flag,
context: To drive away the despair\that threatened the kingdom,\the princesses and heroes fought...\But\the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag, response:	and lost all of her memories.
context: that threatened the kingdom,\the princesses and heroes fought...\But\the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories. response:	At the third gate, due to the demon's schemes,
context: the princesses and heroes fought...\But\the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes, response:	the queen was separated from the heroes,
context: But\the knight, magician,\bishop, and ninja lost their lives at the first gate.\At the second gate,\the samurai fell victim to a curse while protecting the flag,\and lost all of her memories.\At the third gate, due to the demon's schemes,\the queen was separated from the heroes, response:	took the flag, and tried to escape...
