context: The tool I discarded became Gilbert's pet. response:	But after losing both of her arms, her master,
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master, response:	and everything else in the world,
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world, response:	there she was,
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world,\there she was, response:	standing there.
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world,\there she was,\standing there. response:	Thank you very much.
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world,\there she was,\standing there.\Thank you very much. response:	You're so naive.
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world,\there she was,\standing there.\Thank you very much.\You're so naive. response:	You're out of time.
context: The tool I discarded became Gilbert's pet.\But after losing both of her arms, her master,\and everything else in the world,\there she was,\standing there.\Thank you very much.\You're so naive.\You're out of time. response:	You might have made it if you killed me quickly.
context: But after losing both of her arms, her master,\and everything else in the world,\there she was,\standing there.\Thank you very much.\You're so naive.\You're out of time.\You might have made it if you killed me quickly. response:	A bomb?
context: and everything else in the world,\there she was,\standing there.\Thank you very much.\You're so naive.\You're out of time.\You might have made it if you killed me quickly.\A bomb? response:	Pull the emergency brake! Now!
context: there she was,\standing there.\Thank you very much.\You're so naive.\You're out of time.\You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now! response:	It's not working! Try the brake in the guest car!
context: standing there.\Thank you very much.\You're so naive.\You're out of time.\You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car! response:	Pull the emergency brakes!
context: Thank you very much.\You're so naive.\You're out of time.\You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes! response:	What was that?
context: You're so naive.\You're out of time.\You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that? response:	Violet!
context: You're out of time.\You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that?\Violet! response:	Violet!
context: You might have made it if you killed me quickly.\A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that?\Violet!\Violet! response:	-Get the other bomb! -I'm on it!
context: A bomb?\Pull the emergency brake! Now!\It's not working! Try the brake in the guest car!\Pull the emergency brakes!\What was that?\Violet!\Violet!\-Get the other bomb! -I'm on it! response:	I got it!
