context: Ladies and gentlemen, good evening. response:	The life of the young boy that was sacrificed to my friend...
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend... response:	And I rejoiced.
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced. response:	His soul has at long last been tainted.
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted. response:	Tainted by the fires of a remorse and hatred which will never fade.
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade. response:	Why, Franz?
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz? response:	You promised me that you wouldn't go away anymore without telling me, didn't you?
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you? response:	Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.
context: Ladies and gentlemen, good evening.\The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried. response:	How could I? Right up until yesterday, you were by my side.
context: The life of the young boy that was sacrificed to my friend...\And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side. response:	You were always there for me when I needed you.
context: And I rejoiced.\His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you. response:	But now, all I have is this letter...
context: His soul has at long last been tainted.\Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter... response:	Why did it have to be you? Why was it you instead of me?!
context: Tainted by the fires of a remorse and hatred which will never fade.\Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?! response:	C'mon, Franz, answer me... Just like you always do.
context: Why, Franz?\You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do. response:	Say something... Say anything, Franz...
context: You promised me that you wouldn't go away anymore without telling me, didn't you?\Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz... response:	Act 19: Even if I Should Stop Being Me
context: Franz... I couldn't bring myself to go to your funeral no matter how hard I tried.\How could I? Right up until yesterday, you were by my side.\You were always there for me when I needed you.\But now, all I have is this letter...\Why did it have to be you? Why was it you instead of me?!\C'mon, Franz, answer me... Just like you always do.\Say something... Say anything, Franz...\Act 19: Even if I Should Stop Being Me response:	Queen to F3.
