context: Sign: Akemi Homura response:	Bring a condom! >_> Buy a condominium! <_<
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_< response:	But!!
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!! response:	SHIT DIDNT HIT ANY FANS.
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS. response:	Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!! response:	Time Traveler, Akemi Homura.
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura. response:	To be able to rewrite the past, you have crossed multiple parallel dimensions.
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions. response:	In pursuit of the ending that you wished for,
context: Sign: Akemi Homura\Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for, response:	you have repeatedly traveled between dimensions for the past month, right?
context: Bring a condom! >_> Buy a condominium! <_<\But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right? response:	Your existence answered a question.
context: But!!\SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question. response:	Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.
context: SHIT DIDNT HIT ANY FANS.\Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo. response:	Now an acceptable hypothesis can be proposed.
context: Puella Magi Madoka Magica Episode 11 SHIT IS GONNA HIT THE FUCKING FAN!!!\Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed. response:	The potential to be a Mahou Shoujo,
context: Time Traveler, Akemi Homura.\To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo, response:	is determined by the amount of cause-and-effect carried.
context: To be able to rewrite the past, you have crossed multiple parallel dimensions.\In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried. response:	A queen of a country, or a messiah will not be discussed,
context: In pursuit of the ending that you wished for,\you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed, response:	but for Madoka, who grew up with an exceedingly normal life,
context: you have repeatedly traveled between dimensions for the past month, right?\Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life, response:	it's hard to understand why such a huge cause-and-effect line is concentrated within her.
context: Your existence answered a question.\Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her. response:	But...
context: Why Kaname Madoka possesses an incredible talent to be a Mahou Shoujo.\Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But... response:	Hey, Homura.
context: Now an acceptable hypothesis can be proposed.\The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura. response:	It could be that Madoka became a powerful Mahou because of your constant repeating of time.
context: The potential to be a Mahou Shoujo,\is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time. response:	Indeed.
context: is determined by the amount of cause-and-effect carried.\A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed. response:	The cause is you.
context: A queen of a country, or a messiah will not be discussed,\but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you. response:	Specifically, it can be said to be a side effect of your magic.
context: but for Madoka, who grew up with an exceedingly normal life,\it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic. response:	What do you mean?
context: it's hard to understand why such a huge cause-and-effect line is concentrated within her.\But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean? response:	There is only one reason why you reverse time.
context: But...\Hey, Homura.\It could be that Madoka became a powerful Mahou because of your constant repeating of time.\Indeed.\The cause is you.\Specifically, it can be said to be a side effect of your magic.\What do you mean?\There is only one reason why you reverse time. response:	That is the safety of Kaname Madoka.
