context: He's gotten stronger again. response:	He's shining even more brilliantly than before.
context: He's gotten stronger again.\He's shining even more brilliantly than before. response:	But there's a smudge that's getting in my way.
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way. response:	He'll get strong.
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong. response:	Someday, he'll be strong enough to be rid of it.
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it. response:	But...
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it.\But... response:	This shell can only be broken by those who go on adventures.
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures. response:	I'll leave this in your hands, Ottarl.
context: He's gotten stronger again.\He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl. response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: He's shining even more brilliantly than before.\But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Aiz Wallenstein Sword Princess
context: But there's a smudge that's getting in my way.\He'll get strong.\Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess response:	Bell-sama!
context: He'll get strong.\Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama! response:	Sorry, I didn't mean to...
context: Someday, he'll be strong enough to be rid of it.\But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to... response:	You surprised me!
context: But...\This shell can only be broken by those who go on adventures.\I'll leave this in your hands, Ottarl.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Aiz Wallenstein Sword Princess\Bell-sama!\Sorry, I didn't mean to...\You surprised me! response:	I had no idea you used a transformation spell.
