context: A celestial nymph? response:	Uh, hi...
context: A celestial nymph?\Uh, hi... response:	Who are you?
context: A celestial nymph?\Uh, hi...\Who are you? response:	This sacred mountain is forbidden to women.
context: A celestial nymph?\Uh, hi...\Who are you?\This sacred mountain is forbidden to women. response:	Who permitted you to set foot here?!
context: A celestial nymph?\Uh, hi...\Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?! response:	Forbidden to women?
context: A celestial nymph?\Uh, hi...\Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women? response:	Maybe that's why he looks so angry.
context: A celestial nymph?\Uh, hi...\Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry. response:	I-I'm so sorry. I wasn't my intention...
context: A celestial nymph?\Uh, hi...\Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention... response:	I'll leave now!
context: Uh, hi...\Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now! response:	Stop!
context: Who are you?\This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop! response:	Are you the one who made these cherry blossoms bloom?
context: This sacred mountain is forbidden to women.\Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom? response:	Why did you come here?!
context: Who permitted you to set foot here?!\Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?! response:	You're hurting me!
context: Forbidden to women?\Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me! response:	What is your name?!
context: Maybe that's why he looks so angry.\I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me!\What is your name?! response:	Answer me, or I will break your arm!
context: I-I'm so sorry. I wasn't my intention...\I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me!\What is your name?!\Answer me, or I will break your arm! response:	I wonder what's happening on this world
context: I'll leave now!\Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me!\What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world response:	I wonder what's happening on this world
context: Stop!\Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me!\What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: Are you the one who made these cherry blossoms bloom?\Why did you come here?!\You're hurting me!\What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Why did you come here?!\You're hurting me!\What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: You're hurting me!\What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: What is your name?!\Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: Answer me, or I will break your arm!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	Master Jirou!
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Master Jirou! response:	Jirou?!
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Master Jirou!\Jirou?! response:	He's the creep who hurt Botanmaru?!
context: Hey, God,\I'm your god\I'm your god\I think\I think\Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?! response:	Stop...
context: I'm your god\I'm your god\I think\I think\Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?!\Stop... response:	Master Jirou, so this is where you were.
context: I'm your god\I think\I think\Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were. response:	You should return to the hall soon.
context: I think\I think\Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were.\You should return to the hall soon. response:	What is the matter, sir?
context: I think\Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir? response:	I'm merely surprised that a woman's arm can be so frail.
context: Master Jirou!\Jirou?!\He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail. response:	The God Sneaks In
context: Jirou?!\He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In response:	What's his problem?! That guy's got serious anger issues!
context: He's the creep who hurt Botanmaru?!\Stop...\Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues! response:	Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?
context: Stop...\Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain? response:	There's no way!
context: Master Jirou, so this is where you were.\You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way! response:	That was a long bathroom break.
context: You should return to the hall soon.\What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break. response:	Where in the world did you go loitering about?
context: What is the matter, sir?\I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break.\Where in the world did you go loitering about? response:	Tomoe!
context: I'm merely surprised that a woman's arm can be so frail.\The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break.\Where in the world did you go loitering about?\Tomoe! response:	What is wrong?
context: The God Sneaks In\What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break.\Where in the world did you go loitering about?\Tomoe!\What is wrong? response:	You are trembling!
context: What's his problem?! That guy's got serious anger issues!\Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break.\Where in the world did you go loitering about?\Tomoe!\What is wrong?\You are trembling! response:	What happened?
context: Do you really think Brother Jirou becoming the Fourth will make everything better on the mountain?\There's no way!\That was a long bathroom break.\Where in the world did you go loitering about?\Tomoe!\What is wrong?\You are trembling!\What happened? response:	Trembling?
context: There's no way!\That was a long bathroom break.\Where in the world did you go loitering about?\Tomoe!\What is wrong?\You are trembling!\What happened?\Trembling? response:	I am?
