context: Just as was announced at yesterday's music festival, response:	today is finally the day when the joint event
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event response:	between the three countries begins.
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins. response:	Ahh, showering is the best way to start the day.
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day. response:	Union Fest
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest response:	Yeah!
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest\Yeah! response:	Oh yeah, that reminds me.
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest\Yeah!\Oh yeah, that reminds me. response:	At yesterday's meeting,
context: Just as was announced at yesterday's music festival,\today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest\Yeah!\Oh yeah, that reminds me.\At yesterday's meeting, response:	you know how the Biscottians were there, too?
context: today is finally the day when the joint event\between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest\Yeah!\Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too? response:	Yup.
context: between the three countries begins.\Ahh, showering is the best way to start the day.\Union Fest\Yeah!\Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too?\Yup. response:	Don't you think Ecle-chan
context: Ahh, showering is the best way to start the day.\Union Fest\Yeah!\Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan response:	was acting a little strange?
context: Union Fest\Yeah!\Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan\was acting a little strange? response:	Hi, Ecle!
context: Yeah!\Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle! response:	Huh?
context: Oh yeah, that reminds me.\At yesterday's meeting,\you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle!\Huh? response:	She seemed to keep her distance from Sink.
context: At yesterday's meeting,\you know how the Biscottians were there, too?\Yup.\Don't you think Ecle-chan\was acting a little strange?\Hi, Ecle!\Huh?\She seemed to keep her distance from Sink. response:	Sink looked surprised.
