context: I'm back! response:	No one's home?
context: I'm back!\No one's home? response:	You've done well to make it this far.
context: I'm back!\No one's home?\You've done well to make it this far. response:	Allow me to congratulate you.
context: I'm back!\No one's home?\You've done well to make it this far.\Allow me to congratulate you. response:	This is my home...
context: I'm back!\No one's home?\You've done well to make it this far.\Allow me to congratulate you.\This is my home... response:	A screening? Of Meruru?
context: I'm back!\No one's home?\You've done well to make it this far.\Allow me to congratulate you.\This is my home...\A screening? Of Meruru? response:	Yes.
context: I'm back!\No one's home?\You've done well to make it this far.\Allow me to congratulate you.\This is my home...\A screening? Of Meruru?\Yes. response:	Why do you guys have to do it here?
context: I'm back!\No one's home?\You've done well to make it this far.\Allow me to congratulate you.\This is my home...\A screening? Of Meruru?\Yes.\Why do you guys have to do it here? response:	A few days ago, in Akihabara...
context: No one's home?\You've done well to make it this far.\Allow me to congratulate you.\This is my home...\A screening? Of Meruru?\Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara... response:	What, you've only watched six episodes?!
context: You've done well to make it this far.\Allow me to congratulate you.\This is my home...\A screening? Of Meruru?\Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?! response:	Quiet. I'm busy with my own life, you know.
context: Allow me to congratulate you.\This is my home...\A screening? Of Meruru?\Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know. response:	Be grateful that I've even watched to episode 6.
context: This is my home...\A screening? Of Meruru?\Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6. response:	Frankly, it's incredibly boring.
context: A screening? Of Meruru?\Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring. response:	Even with these eyes which far surpass humans', I can't find anything good in it.
context: Yes.\Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it. response:	Maybe your eyes have gone bad from watching your Maschera.
context: Why do you guys have to do it here?\A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera. response:	What did you just say?
context: A few days ago, in Akihabara...\What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say? response:	There, there, there!
context: What, you've only watched six episodes?!\Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there! response:	Why don't we have a screening of Meruru and Maschera this Thursday then?
context: Quiet. I'm busy with my own life, you know.\Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then? response:	Why?
context: Be grateful that I've even watched to episode 6.\Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why? response:	You two are always having the same argument.
context: Frankly, it's incredibly boring.\Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument. response:	Your prejudices might be preventing you from seeing each other's anime in a different light.
context: Even with these eyes which far surpass humans', I can't find anything good in it.\Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light. response:	That's not
context: Maybe your eyes have gone bad from watching your Maschera.\What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not response:	If we watch it together and offer commentary, you might find a new perspective.
context: What did you just say?\There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective. response:	So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!
context: There, there, there!\Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo! response:	I see...
context: Why don't we have a screening of Meruru and Maschera this Thursday then?\Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see... response:	Wait, then where's Kirino?
context: Why?\You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino? response:	Her room, probably.
context: You two are always having the same argument.\Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino?\Her room, probably. response:	And Saori?
context: Your prejudices might be preventing you from seeing each other's anime in a different light.\That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino?\Her room, probably.\And Saori? response:	Something urgent came up so she can't make it.
context: That's not\If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino?\Her room, probably.\And Saori?\Something urgent came up so she can't make it. response:	So basically, it's just you and Kirino today?
context: If we watch it together and offer commentary, you might find a new perspective.\So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino?\Her room, probably.\And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today? response:	Yes.
context: So, Miss My parents are always gone Thursdays so I can watch anime on the big screen in the living room! Yahoo!\I see...\Wait, then where's Kirino?\Her room, probably.\And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes. response:	I get it.
context: I see...\Wait, then where's Kirino?\Her room, probably.\And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes.\I get it. response:	I get it now.
context: Wait, then where's Kirino?\Her room, probably.\And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes.\I get it.\I get it now. response:	I get it perfectly.
context: Her room, probably.\And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes.\I get it.\I get it now.\I get it perfectly. response:	You got into a fight with her.
context: And Saori?\Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes.\I get it.\I get it now.\I get it perfectly.\You got into a fight with her. response:	Basically.
context: Something urgent came up so she can't make it.\So basically, it's just you and Kirino today?\Yes.\I get it.\I get it now.\I get it perfectly.\You got into a fight with her.\Basically. response:	Mr. Kyousuke, the rest tis left to you.
context: So basically, it's just you and Kirino today?\Yes.\I get it.\I get it now.\I get it perfectly.\You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you. response:	Tis really left to me, Miss Saori?
context: Yes.\I get it.\I get it now.\I get it perfectly.\You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori? response:	It's more trouble than I want, but...
context: I get it.\I get it now.\I get it perfectly.\You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but... response:	I do owe Saori a lot.
context: I get it now.\I get it perfectly.\You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot. response:	Guess I'll have to.
context: I get it perfectly.\You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to. response:	Alright. Eat up.
context: You got into a fight with her.\Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up. response:	Alright.
context: Basically.\Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up.\Alright. response:	So, what did you get into a fight over?
context: Mr. Kyousuke, the rest tis left to you.\Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up.\Alright.\So, what did you get into a fight over? response:	Anime again?
context: Tis really left to me, Miss Saori?\It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up.\Alright.\So, what did you get into a fight over?\Anime again? response:	Novels.
context: It's more trouble than I want, but...\I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up.\Alright.\So, what did you get into a fight over?\Anime again?\Novels. response:	Novels?
context: I do owe Saori a lot.\Guess I'll have to.\Alright. Eat up.\Alright.\So, what did you get into a fight over?\Anime again?\Novels.\Novels? response:	Calling that aberration a novel goes against my principles, but your sister said,
context: Guess I'll have to.\Alright. Eat up.\Alright.\So, what did you get into a fight over?\Anime again?\Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said, response:	Oh, right. You wrote novels on some site or something, right?
context: Alright. Eat up.\Alright.\So, what did you get into a fight over?\Anime again?\Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right? response:	Woah, that was scarily good!
context: Alright.\So, what did you get into a fight over?\Anime again?\Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good! response:	She put her soul into that!
context: So, what did you get into a fight over?\Anime again?\Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that! response:	I tried writing one too. Care to read it?
context: Anime again?\Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it? response:	Well, it's perfect, like everything else I do.
context: Novels.\Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do. response:	That'd be enough to get me pissed off.
context: Novels?\Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off. response:	Right?
context: Calling that aberration a novel goes against my principles, but your sister said,\Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right? response:	So, was it boring?
context: Oh, right. You wrote novels on some site or something, right?\Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right?\So, was it boring? response:	I wanted to kill her.
context: Woah, that was scarily good!\She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right?\So, was it boring?\I wanted to kill her. response:	It was that bad??
context: She put her soul into that!\I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right?\So, was it boring?\I wanted to kill her.\It was that bad?? response:	What was it about? I'm actually kind of curious now.
context: I tried writing one too. Care to read it?\Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right?\So, was it boring?\I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now. response:	To start with,
context: Well, it's perfect, like everything else I do.\That'd be enough to get me pissed off.\Right?\So, was it boring?\I wanted to kill her.\It was that bad??\What was it about? I'm actually kind of curious now.\To start with, response:	the main character was a mirror image of the author.
