context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START = response:	Approved
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai you kimi to tooku he
context: Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we could go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	No...
context: Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\No... response:	I don't want to be alone anymore!
context: we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\No...\I don't want to be alone anymore! response:	Horo...
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\No...\I don't want to be alone anymore!\Horo... response:	That's right, I remember now.
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\No...\I don't want to be alone anymore!\Horo...\That's right, I remember now. response:	There's someone who truly loves me.
context: Shining eyes\Your singing voice\Let's share it\No...\I don't want to be alone anymore!\Horo...\That's right, I remember now.\There's someone who truly loves me. response:	What are you to me?
context: Your singing voice\Let's share it\No...\I don't want to be alone anymore!\Horo...\That's right, I remember now.\There's someone who truly loves me.\What are you to me? response:	No...
context: Let's share it\No...\I don't want to be alone anymore!\Horo...\That's right, I remember now.\There's someone who truly loves me.\What are you to me?\No... response:	What am I to you?
context: No...\I don't want to be alone anymore!\Horo...\That's right, I remember now.\There's someone who truly loves me.\What are you to me?\No...\What am I to you? response:	Wolf and End of Shallowness
context: I don't want to be alone anymore!\Horo...\That's right, I remember now.\There's someone who truly loves me.\What are you to me?\No...\What am I to you?\Wolf and End of Shallowness response:	In the end...
context: Horo...\That's right, I remember now.\There's someone who truly loves me.\What are you to me?\No...\What am I to you?\Wolf and End of Shallowness\In the end... response:	he was just a small-minded trader.
context: That's right, I remember now.\There's someone who truly loves me.\What are you to me?\No...\What am I to you?\Wolf and End of Shallowness\In the end...\he was just a small-minded trader. response:	Indeed.
context: There's someone who truly loves me.\What are you to me?\No...\What am I to you?\Wolf and End of Shallowness\In the end...\he was just a small-minded trader.\Indeed. response:	If he can't do anything to comfort a lady as beautiful as you,
context: What are you to me?\No...\What am I to you?\Wolf and End of Shallowness\In the end...\he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you, response:	he's nothing but a failure as a man.
context: No...\What am I to you?\Wolf and End of Shallowness\In the end...\he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man. response:	You'll protect me whatever happens, unlike him, right?
context: What am I to you?\Wolf and End of Shallowness\In the end...\he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right? response:	Of course.
context: Wolf and End of Shallowness\In the end...\he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course. response:	Even if all my fortunes were taken away, I'd still have my love for you.
context: In the end...\he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you. response:	Craft Lawrence is nothing but a coward.
context: he was just a small-minded trader.\Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward. response:	Amarty...
context: Indeed.\If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward.\Amarty... response:	Don't be stupid!
context: If he can't do anything to comfort a lady as beautiful as you,\he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward.\Amarty...\Don't be stupid! response:	Geez, I warned you.
context: he's nothing but a failure as a man.\You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward.\Amarty...\Don't be stupid!\Geez, I warned you. response:	You were so full of confidence before, but look at you now.
context: You'll protect me whatever happens, unlike him, right?\Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward.\Amarty...\Don't be stupid!\Geez, I warned you.\You were so full of confidence before, but look at you now. response:	This was unforeseen.
context: Of course.\Even if all my fortunes were taken away, I'd still have my love for you.\Craft Lawrence is nothing but a coward.\Amarty...\Don't be stupid!\Geez, I warned you.\You were so full of confidence before, but look at you now.\This was unforeseen. response:	Completely outside my expectations.
