context: Hold on a minute, Natsume. response:	Could you write your name on this?
context: Hold on a minute, Natsume.\Could you write your name on this? response:	My name?
context: Hold on a minute, Natsume.\Could you write your name on this?\My name? response:	Are you going to do something at the closed-down school building?
context: Hold on a minute, Natsume.\Could you write your name on this?\My name?\Are you going to do something at the closed-down school building? response:	We're doing a courage test.
context: Hold on a minute, Natsume.\Could you write your name on this?\My name?\Are you going to do something at the closed-down school building?\We're doing a courage test. response:	Sasada.
context: Hold on a minute, Natsume.\Could you write your name on this?\My name?\Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada. response:	If we don't gather a certain number of people, we can't get permission.
context: Hold on a minute, Natsume.\Could you write your name on this?\My name?\Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission. response:	So, could you help us?
context: Hold on a minute, Natsume.\Could you write your name on this?\My name?\Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us? response:	It sounds fun, doesn't it?
context: Could you write your name on this?\My name?\Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it? response:	It was Sasada's idea.
context: My name?\Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea. response:	Thanks.
context: Are you going to do something at the closed-down school building?\We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea.\Thanks. response:	Ah, sure.
context: We're doing a courage test.\Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea.\Thanks.\Ah, sure. response:	What?
context: Sasada.\If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea.\Thanks.\Ah, sure.\What? response:	Nothing.
context: If we don't gather a certain number of people, we can't get permission.\So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea.\Thanks.\Ah, sure.\What?\Nothing. response:	He's saying it's surprising.
context: So, could you help us?\It sounds fun, doesn't it?\It was Sasada's idea.\Thanks.\Ah, sure.\What?\Nothing.\He's saying it's surprising. response:	Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.
context: It sounds fun, doesn't it?\It was Sasada's idea.\Thanks.\Ah, sure.\What?\Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either. response:	Did you say something?
context: It was Sasada's idea.\Thanks.\Ah, sure.\What?\Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something? response:	I'll call you when everything has gone through.
context: Thanks.\Ah, sure.\What?\Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through. response:	Okay.
context: Ah, sure.\What?\Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through.\Okay. response:	What is it?
context: What?\Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through.\Okay.\What is it? response:	So they really can't see it?
context: Nothing.\He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through.\Okay.\What is it?\So they really can't see it? response:	D-Damn.
context: He's saying it's surprising.\Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through.\Okay.\What is it?\So they really can't see it?\D-Damn. response:	L-Later!
context: Well, I didn't think our haughty class rep would be organizing a ghost hunt, either.\Did you say something?\I'll call you when everything has gone through.\Okay.\What is it?\So they really can't see it?\D-Damn.\L-Later! response:	Hey, Natsume!
context: Did you say something?\I'll call you when everything has gone through.\Okay.\What is it?\So they really can't see it?\D-Damn.\L-Later!\Hey, Natsume! response:	Why's he in a rush so suddenly?
context: I'll call you when everything has gone through.\Okay.\What is it?\So they really can't see it?\D-Damn.\L-Later!\Hey, Natsume!\Why's he in a rush so suddenly? response:	W-What was that, just now?
context: Okay.\What is it?\So they really can't see it?\D-Damn.\L-Later!\Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now? response:	He's not chasing after me?
context: What is it?\So they really can't see it?\D-Damn.\L-Later!\Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me? response:	Natsume-sama!
context: So they really can't see it?\D-Damn.\L-Later!\Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me?\Natsume-sama! response:	You're Natsume Reiko, aren't you?
context: D-Damn.\L-Later!\Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you? response:	No, Reiko is my grandmother.
context: L-Later!\Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother. response:	She already passed aw-
context: Hey, Natsume!\Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw- response:	Give me the Book of Friends!
context: Why's he in a rush so suddenly?\W-What was that, just now?\He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends! response:	If you don't, I'll gobble you up!
context: W-What was that, just now?\He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up! response:	Stop it.
context: He's not chasing after me?\Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up!\Stop it. response:	Nyanko-sensei...
context: Natsume-sama!\You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up!\Stop it.\Nyanko-sensei... response:	Don't get in my way!
context: You're Natsume Reiko, aren't you?\No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up!\Stop it.\Nyanko-sensei...\Don't get in my way! response:	That is not something to be used by a low-level Ayakashi like you.
context: No, Reiko is my grandmother.\She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up!\Stop it.\Nyanko-sensei...\Don't get in my way!\That is not something to be used by a low-level Ayakashi like you. response:	Silence!
context: She already passed aw-\Give me the Book of Friends!\If you don't, I'll gobble you up!\Stop it.\Nyanko-sensei...\Don't get in my way!\That is not something to be used by a low-level Ayakashi like you.\Silence! response:	Also, I have a deal with him to receive the Book of Friends once he dies.
