context: Deep in the woods, there was a training facility. response:	Amazing...
context: Deep in the woods, there was a training facility.\Amazing... response:	To us, it was known simply as the Farm.
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm. response:	To train first-class spies.
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm.\To train first-class spies. response:	This is why, if they determined that a girl did not meet their standards,
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards, response:	we'd wake up one day and find she was gone.
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone. response:	Saying goodbye was never part of the program.
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program. response:	Finished.
context: Deep in the woods, there was a training facility.\Amazing...\To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished. response:	What? You're kidding!
context: Amazing...\To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished.\What? You're kidding! response:	Already?
context: To us, it was known simply as the Farm.\To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished.\What? You're kidding!\Already? response:	Finished!
context: To train first-class spies.\This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished.\What? You're kidding!\Already?\Finished! response:	Whoa! Her, too?!
context: This is why, if they determined that a girl did not meet their standards,\we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished.\What? You're kidding!\Already?\Finished!\Whoa! Her, too?! response:	How?!
context: we'd wake up one day and find she was gone.\Saying goodbye was never part of the program.\Finished.\What? You're kidding!\Already?\Finished!\Whoa! Her, too?!\How?! response:	Come on, girls.
context: Saying goodbye was never part of the program.\Finished.\What? You're kidding!\Already?\Finished!\Whoa! Her, too?!\How?!\Come on, girls. response:	You don't have to be THAT fast.
context: Finished.\What? You're kidding!\Already?\Finished!\Whoa! Her, too?!\How?!\Come on, girls.\You don't have to be THAT fast. response:	I understand you were classmates?
context: What? You're kidding!\Already?\Finished!\Whoa! Her, too?!\How?!\Come on, girls.\You don't have to be THAT fast.\I understand you were classmates? response:	Yes, Sir.
context: Already?\Finished!\Whoa! Her, too?!\How?!\Come on, girls.\You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir. response:	She was an extremely good student.
context: Finished!\Whoa! Her, too?!\How?!\Come on, girls.\You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir.\She was an extremely good student. response:	An honor student whose grades never fell below second place.
context: Whoa! Her, too?!\How?!\Come on, girls.\You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place. response:	We still have her records.
context: How?!\Come on, girls.\You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records. response:	You two will be well-suited for this mission.
context: Come on, girls.\You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission. response:	You think so, sir?
context: You don't have to be THAT fast.\I understand you were classmates?\Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission.\You think so, sir? response:	What have you said to her?
context: I understand you were classmates?\Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission.\You think so, sir?\What have you said to her? response:	We've told her what she needs to know.
context: Yes, Sir.\She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission.\You think so, sir?\What have you said to her?\We've told her what she needs to know. response:	Now I want you to meet her on-site and determine how to proceed.
context: She was an extremely good student.\An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission.\You think so, sir?\What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed. response:	Yes, Sir.
context: An honor student whose grades never fell below second place.\We still have her records.\You two will be well-suited for this mission.\You think so, sir?\What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir. response:	Our mission is to retrieve top secret documents
context: We still have her records.\You two will be well-suited for this mission.\You think so, sir?\What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents response:	from the estate of the First Lord of the Admiralty.
context: You two will be well-suited for this mission.\You think so, sir?\What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty. response:	The operation will take place on the 25th.
context: You think so, sir?\What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th. response:	Christmas.
context: What have you said to her?\We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas. response:	That's today!
context: We've told her what she needs to know.\Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas.\That's today! response:	We can't! We haven't done anything to prepare!
context: Now I want you to meet her on-site and determine how to proceed.\Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas.\That's today!\We can't! We haven't done anything to prepare! response:	That's alright. We have an ally on the inside.
context: Yes, Sir.\Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas.\That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside. response:	She'll be our guide when we get there.
context: Our mission is to retrieve top secret documents\from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas.\That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there. response:	She's good at what she does. Don't worry.
context: from the estate of the First Lord of the Admiralty.\The operation will take place on the 25th.\Christmas.\That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry. response:	You know her?
context: The operation will take place on the 25th.\Christmas.\That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her? response:	We were classmates.
context: Christmas.\That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her?\We were classmates. response:	Back at the training facility.
context: That's today!\We can't! We haven't done anything to prepare!\That's alright. We have an ally on the inside.\She'll be our guide when we get there.\She's good at what she does. Don't worry.\You know her?\We were classmates.\Back at the training facility. response:	The sea charts of all Europe are about to change.
