context: To think that the DRAGON would launch an attack. response:	This Para-mail... It isn't a DRAGON's, is it?
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it? response:	It is the Misurugi royal family's duty to Manage the Singulars.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars. response:	Mister Juliono, Your Majesty, please explain.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain. response:	There's no sign whatsoever that the Dawn Pillar was activated.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated. response:	Nonsense. Impossible.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible. response:	We must re-establish Arzenal and reinforce it immediately.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately. response:	But we cannot.
context: To think that the DRAGON would launch an attack.\This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot. response:	This machine... it can't be.
context: This Para-mail... It isn't a DRAGON's, is it?\It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be. response:	It's the Villkiss.
context: It is the Misurugi royal family's duty to Manage the Singulars.\Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be.\It's the Villkiss. response:	It should have been destroyed during the revolt.
context: Mister Juliono, Your Majesty, please explain.\There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt. response:	It is the Rosenblum royal family's duty to Manage Arzenal.
context: There's no sign whatsoever that the Dawn Pillar was activated.\Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal. response:	Why was this neglected?
context: Nonsense. Impossible.\We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected? response:	The commanding officer reported nothing out of the ordinary.
context: We must re-establish Arzenal and reinforce it immediately.\But we cannot.\This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary. response:	Was she duped by the Normas?
context: But we cannot.\This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas? response:	How incompetent.
context: This machine... it can't be.\It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent. response:	No wonder a princess could so easily be abducted by the Norma.
context: It's the Villkiss.\It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma. response:	I won't allow Misty to be insulted, not even by you.
context: It should have been destroyed during the revolt.\It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you. response:	Be calm, you two.
context: It is the Rosenblum royal family's duty to Manage Arzenal.\Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two. response:	Silence, boy.
context: Why was this neglected?\The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy. response:	It was your sister that took my daughter.
context: The commanding officer reported nothing out of the ordinary.\Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy.\It was your sister that took my daughter. response:	That thing is no longer my sister.
context: Was she duped by the Normas?\How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister. response:	Do you think we'll accept such an excuse?
context: How incompetent.\No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse? response:	You family of criminals...
context: No wonder a princess could so easily be abducted by the Norma.\I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals... response:	Stop it.
context: I won't allow Misty to be insulted, not even by you.\Be calm, you two.\Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals...\Stop it. response:	Right now, we need to discuss how we'll protect the world.
context: Be calm, you two.\Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world. response:	Without the Norma to rely on,
context: Silence, boy.\It was your sister that took my daughter.\That thing is no longer my sister.\Do you think we'll accept such an excuse?\You family of criminals...\Stop it.\Right now, we need to discuss how we'll protect the world.\Without the Norma to rely on, response:	will we humans have to do battle ourselves?
