context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, okay?
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay? response:	The Kingdom of Fiore.
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore. response:	A world where magic is an integral part of people's lives.
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives. response:	However...
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However... response:	What we will be presenting to you today is a very eerie magic...
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic... response:	For the next 30 minutes your mind will leave your body and head deep into this magic...
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic... response:	That's right, we can do it!
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: and sit back from the screen, okay?\The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: The Kingdom of Fiore.\A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: A world where magic is an integral part of people's lives.\However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: However...\What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: What we will be presenting to you today is a very eerie magic...\For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: For the next 30 minutes your mind will leave your body and head deep into this magic...\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	Is the master in?
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Is the master in? response:	Did you have a little swim in the ocean?
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean? response:	It wasn't that kind of trip.
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip. response:	Whoa, Mira-san... Now is not the time...
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time... response:	Where is the master?!
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?! response:	He had some kind of council something-or-other meeting, or whatever...
context: the way we want to!\Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever... response:	He's been gone since yesterday.
context: Let's wondering!!!\Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday. response:	We're safe for now!
context: Is the master in?\Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now! response:	All right! None of that until gramps gets back!
context: Did you have a little swim in the ocean?\It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back! response:	Thank goodness! We can put off staring into the gates of hell for a while longer!
context: It wasn't that kind of trip.\Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer! response:	Tell me what that is already!
context: Whoa, Mira-san... Now is not the time...\Where is the master?!\He had some kind of council something-or-other meeting, or whatever...\He's been gone since yesterday.\We're safe for now!\All right! None of that until gramps gets back!\Thank goodness! We can put off staring into the gates of hell for a while longer!\Tell me what that is already! response:	I wanna know so bad! It's freaking me out!
