context: Military Tribunal 54 is hereby convened. response:	The charge.
context: Military Tribunal 54 is hereby convened.\The charge. response:	That you lied to other countries about peace through neutrality
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality response:	and developed grave threats, the Valvraves, in secret.
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret. response:	Do you have anything to say in your defense,
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense, response:	Prime Minister of Old JIOR, Sashinami Ryuji?
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji? response:	It's the truth! It's delicious, you've got to try it!
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it! response:	Search results: zero. For that way of eating them.
context: Military Tribunal 54 is hereby convened.\The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them. response:	Search results: zero. For that way of eating them.
context: The charge.\That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them. response:	I'll treat you when we get to the Moon, then.
context: That you lied to other countries about peace through neutrality\and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then. response:	Moon?
context: and developed grave threats, the Valvraves, in secret.\Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon? response:	On the Moon, I can get all the ingredients I mentioned.
context: Do you have anything to say in your defense,\Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned. response:	Plus, the Moon is neutral territory.
context: Prime Minister of Old JIOR, Sashinami Ryuji?\It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory. response:	The Dorssians won't be able to attack us anymore.
context: It's the truth! It's delicious, you've got to try it!\Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore. response:	The war will be over, too!
context: Search results: zero. For that way of eating them.\Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too! response:	We'll go back to being ordinary students and focus on club activities.
context: Search results: zero. For that way of eating them.\I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities. response:	We'll have proper classes, too!
context: I'll treat you when we get to the Moon, then.\Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too! response:	On Saturdays, we'll all go hang out together,
context: Moon?\On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together, response:	and everything that was called off, we'll start up again.
context: On the Moon, I can get all the ingredients I mentioned.\Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again. response:	Don't you worry! Once we get to the Moon, I know everything will be okay!
context: Plus, the Moon is neutral territory.\The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay! response:	You're late!
context: The Dorssians won't be able to attack us anymore.\The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay!\You're late! response:	You're the one who asked me to meet you!
context: The war will be over, too!\We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay!\You're late!\You're the one who asked me to meet you! response:	We were supposed to meet at 10, right?
context: We'll go back to being ordinary students and focus on club activities.\We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay!\You're late!\You're the one who asked me to meet you!\We were supposed to meet at 10, right? response:	Me getting here first is the same as you keeping me waiting.
context: We'll have proper classes, too!\On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay!\You're late!\You're the one who asked me to meet you!\We were supposed to meet at 10, right?\Me getting here first is the same as you keeping me waiting. response:	Sorry...
context: On Saturdays, we'll all go hang out together,\and everything that was called off, we'll start up again.\Don't you worry! Once we get to the Moon, I know everything will be okay!\You're late!\You're the one who asked me to meet you!\We were supposed to meet at 10, right?\Me getting here first is the same as you keeping me waiting.\Sorry... response:	Fine, whatever.
