context: So we meet at last, Ayato Amagiri! response:	I have been looking forward to this day!
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day! response:	As I'm always hearing about you from my master,
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master, response:	I expect great things of you!
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you! response:	Please trigger more exhilaration in me than Kirin Toudou did!
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did! response:	Unfortunately, I can't guarantee that I will.
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will. response:	But this match...
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match... response:	Victory will be ours!
context: So we meet at last, Ayato Amagiri!\I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours! response:	No matter what!
context: I have been looking forward to this day!\As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what! response:	Fine.
context: As I'm always hearing about you from my master,\I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\Fine. response:	All I have to do now is pray that you two are worthy of my respect.
context: I expect great things of you!\Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect. response:	You good-for-nothing.
context: Please trigger more exhilaration in me than Kirin Toudou did!\Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing. response:	Your body is inefficient enough as it is, so ease up on the inane chatter.
context: Unfortunately, I can't guarantee that I will.\But this match...\Victory will be ours!\No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter. response:	Otherwise, I'll make sure you never open that mouth of yours again.
context: But this match...\Victory will be ours!\No matter what!\Fine.\All I have to do now is pray that you two are worthy of my respect.\You good-for-nothing.\Your body is inefficient enough as it is, so ease up on the inane chatter.\Otherwise, I'll make sure you never open that mouth of yours again. response:	But clearly, you're speaking far more than me.
