context: 117,000... Unbelievable! response:	Even Commander Ginyu's highest battle rating only reached 120,000.
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000. response:	120,000... 130,000...
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000... response:	140,000!
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000! response:	In all the universe, l should be the one whose strength is second only to Freeza's!
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's! response:	150,000! How can this be!?
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!? response:	Stop it!
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!?\Stop it! response:	Why you!
context: 117,000... Unbelievable!\Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!?\Stop it!\Why you! response:	180,000!?
context: Even Commander Ginyu's highest battle rating only reached 120,000.\120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!?\Stop it!\Why you!\180,000!? response:	I- I can't believe it! This is your true power!?
context: 120,000... 130,000...\140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!?\Stop it!\Why you!\180,000!?\I- I can't believe it! This is your true power!? response:	N- no wonder we didn't stand a chance against him!
context: 140,000!\In all the universe, l should be the one whose strength is second only to Freeza's!\150,000! How can this be!?\Stop it!\Why you!\180,000!?\I- I can't believe it! This is your true power!?\N- no wonder we didn't stand a chance against him! response:	How can a Saiyan be so strong?
