context: Once upon a time, there was a happy prince. response:	The happy prince knew no painful past and he knew no painful future.
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future. response:	One day, the prince obtained a comforting warmth.
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth. response:	However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness. response:	What are you looking at?
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at? response:	Nothing. It's none of your business.
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business. response:	'The Prince and the Raven,' huh? I see.
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see. response:	What?
context: Once upon a time, there was a happy prince.\The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What? response:	It seems you're gaining an interest in what Mytho was like when he was in the story.
context: The happy prince knew no painful past and he knew no painful future.\One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story. response:	What Mytho was like before he lost his heart.
context: One day, the prince obtained a comforting warmth.\However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart. response:	Are you trying to say that I'm the one restoring Mytho's heart?
context: However, this warmth emanated not only tranquillity, but also unhappiness, pain, and loneliness.\What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart? response:	Am I wrong?
context: What are you looking at?\Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong? response:	Hold it!
context: Nothing. It's none of your business.\'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it! response:	What's so funny?
context: 'The Prince and the Raven,' huh? I see.\What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it!\What's so funny? response:	What would you do if Princess Tutu really existed?
context: What?\It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it!\What's so funny?\What would you do if Princess Tutu really existed? response:	Did something happen?
context: It seems you're gaining an interest in what Mytho was like when he was in the story.\What Mytho was like before he lost his heart.\Are you trying to say that I'm the one restoring Mytho's heart?\Am I wrong?\Hold it!\What's so funny?\What would you do if Princess Tutu really existed?\Did something happen? response:	No, nothing happened.
