context: Dammit! response:	Don't worry, you're just entangled in them.
context: Dammit!\Don't worry, you're just entangled in them. response:	Just wait until evening, and you'll get loose all on your own.
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own. response:	Who are you guys? Is this not Planet Namek?
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek? response:	It doesn't have any fancy name like that!
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that! response:	This scummy planet is like a big trash heap in space.
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space. response:	It doesn't have any cities, or people, or anything decent to eat or drink.
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink. response:	We were forced down on this planet when we got caught in some cosmic tides.
context: Dammit!\Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides. response:	Our spaceship was smashed up, and we were at our wit's end when you folks showed up.
context: Don't worry, you're just entangled in them.\Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up. response:	We were going to swipe your spaceship and get out of here right away,
context: Just wait until evening, and you'll get loose all on your own.\Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away, response:	but unfortunately, there is a gigantic cosmic tidal current in the way,
context: Who are you guys? Is this not Planet Namek?\It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way, response:	and we couldn't move.
context: It doesn't have any fancy name like that!\This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move. response:	So, you're saying that you were just killing time up to now?
context: This scummy planet is like a big trash heap in space.\It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now? response:	That's right. While you were out, we probed you to find out about Earth,
context: It doesn't have any cities, or people, or anything decent to eat or drink.\We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth, response:	the secret of the Dragon Balls, and even what Namekians looked like.
context: We were forced down on this planet when we got caught in some cosmic tides.\Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like. response:	Then, the lake, and the giant, and the ice cave were all...
context: Our spaceship was smashed up, and we were at our wit's end when you folks showed up.\We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all... response:	Illusions that we made you see.
context: We were going to swipe your spaceship and get out of here right away,\but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see. response:	W- what kind of despicable joke is this!?
context: but unfortunately, there is a gigantic cosmic tidal current in the way,\and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!? response:	It was pretty thrilling, wasn't it?
context: and we couldn't move.\So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it? response:	Get bent, you bastards!
context: So, you're saying that you were just killing time up to now?\That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards! response:	A- as hectic as things are right now-!
context: That's right. While you were out, we probed you to find out about Earth,\the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-! response:	Don't be mad. In exchange for taking your spaceship,
context: the secret of the Dragon Balls, and even what Namekians looked like.\Then, the lake, and the giant, and the ice cave were all...\Illusions that we made you see.\W- what kind of despicable joke is this!?\It was pretty thrilling, wasn't it?\Get bent, you bastards!\A- as hectic as things are right now-!\Don't be mad. In exchange for taking your spaceship, response:	we just let you have a bit of a dream, didn't we?
