context: We can't catch up! response:	It's definitely'Dash'!
context: We can't catch up!\It's definitely'Dash'! response:	When it's about speed nobody can win it!
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it! response:	Then, can we really catch it?
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it? response:	Don't worry! It's only good at short-range.
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range. response:	We've come to a clearing!
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing! response:	Windy!
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing!\Windy! response:	Got it!
context: We can't catch up!\It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing!\Windy!\Got it! response:	Oh no, if it keeps trying to get away, it'll get hurt!
context: It's definitely'Dash'!\When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing!\Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt! response:	What a pity!
context: When it's about speed nobody can win it!\Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing!\Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity! response:	I think it came this way.
context: Then, can we really catch it?\Don't worry! It's only good at short-range.\We've come to a clearing!\Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way. response:	Sakura, do you feel its aura?
context: Don't worry! It's only good at short-range.\We've come to a clearing!\Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way.\Sakura, do you feel its aura? response:	I feel it coming from there, but it's really weak.
context: We've come to a clearing!\Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak. response:	It was struggling really hard against Windy earlier.
context: Windy!\Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier. response:	It's just over this wall, huh?
context: Got it!\Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh? response:	Here's your chance to catch it.
context: Oh no, if it keeps trying to get away, it'll get hurt!\What a pity!\I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it. response:	I must look like a thief.
context: What a pity!\I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief. response:	Someone's coming!
context: I think it came this way.\Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief.\Someone's coming! response:	Over here, was it?
context: Sakura, do you feel its aura?\I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief.\Someone's coming!\Over here, was it? response:	Yes, there was a weird looking girl
context: I feel it coming from there, but it's really weak.\It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief.\Someone's coming!\Over here, was it?\Yes, there was a weird looking girl response:	coming out of the park.
context: It was struggling really hard against Windy earlier.\It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief.\Someone's coming!\Over here, was it?\Yes, there was a weird looking girl\coming out of the park. response:	A girl?
context: It's just over this wall, huh?\Here's your chance to catch it.\I must look like a thief.\Someone's coming!\Over here, was it?\Yes, there was a weird looking girl\coming out of the park.\A girl? response:	Right, and she had a weird outfit on, too!
context: Here's your chance to catch it.\I must look like a thief.\Someone's coming!\Over here, was it?\Yes, there was a weird looking girl\coming out of the park.\A girl?\Right, and she had a weird outfit on, too! response:	Weird?
context: I must look like a thief.\Someone's coming!\Over here, was it?\Yes, there was a weird looking girl\coming out of the park.\A girl?\Right, and she had a weird outfit on, too!\Weird? response:	I think it's cute.
context: Someone's coming!\Over here, was it?\Yes, there was a weird looking girl\coming out of the park.\A girl?\Right, and she had a weird outfit on, too!\Weird?\I think it's cute. response:	Shuu!
context: Over here, was it?\Yes, there was a weird looking girl\coming out of the park.\A girl?\Right, and she had a weird outfit on, too!\Weird?\I think it's cute.\Shuu! response:	We'll have to give up for now.
context: Yes, there was a weird looking girl\coming out of the park.\A girl?\Right, and she had a weird outfit on, too!\Weird?\I think it's cute.\Shuu!\We'll have to give up for now. response:	Dash is probably hurt, so it can't be too far from here.
context: coming out of the park.\A girl?\Right, and she had a weird outfit on, too!\Weird?\I think it's cute.\Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here. response:	Right.
context: A girl?\Right, and she had a weird outfit on, too!\Weird?\I think it's cute.\Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right. response:	Rei, what did you say?
context: Right, and she had a weird outfit on, too!\Weird?\I think it's cute.\Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say? response:	Something came over the wall. I think it was that cat.
context: Weird?\I think it's cute.\Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say?\Something came over the wall. I think it was that cat. response:	Don't be scared. Come here.
context: I think it's cute.\Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here. response:	What's wrong?
context: Shuu!\We'll have to give up for now.\Dash is probably hurt, so it can't be too far from here.\Right.\Rei, what did you say?\Something came over the wall. I think it was that cat.\Don't be scared. Come here.\What's wrong? response:	Are you hurt? Hang on a sec!
