context: Otter No. 11 response:	Otter Human Meeting!
context: Otter No. 11\Otter Human Meeting! response:	It's Spring...
context: Otter No. 11\Otter Human Meeting!\It's Spring... response:	Ahh... I want to be in love.
context: Otter No. 11\Otter Human Meeting!\It's Spring...\Ahh... I want to be in love. response:	Rie-chan you're too straightforward.
context: Otter No. 11\Otter Human Meeting!\It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward. response:	What's wrong in being straightforward?
context: Otter No. 11\Otter Human Meeting!\It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward? response:	Don't you want to be in love, Naho?
context: Otter No. 11\Otter Human Meeting!\It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho? response:	Of course I want...
context: Otter No. 11\Otter Human Meeting!\It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want... response:	I envy Emi-chan for having a boyfriend.
context: Otter Human Meeting!\It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend. response:	Well, that's not my preference.
context: It's Spring...\Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference. response:	I hope I find a wonderful lover somewhere.
context: Ahh... I want to be in love.\Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere. response:	Here he is.
context: Rie-chan you're too straightforward.\What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is. response:	Are you hurt?
context: What's wrong in being straightforward?\Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt? response:	Hey you! Naho!
context: Don't you want to be in love, Naho?\Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt?\Hey you! Naho! response:	Watch where you're walking, dumb morons.
context: Of course I want...\I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons. response:	Hey.. Wait!
context: I envy Emi-chan for having a boyfriend.\Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait! response:	Oh my shoulder hurt.. It's a compound fracture.
context: Well, that's not my preference.\I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture. response:	Eeh! But we hit your left shoulder...
context: I hope I find a wonderful lover somewhere.\Here he is.\Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder... response:	Compensation is 1 million... PAY IT.
context: Here he is.\Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT. response:	I don't carry such an amount.
context: Are you hurt?\Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount. response:	Don't mess with me.
context: Hey you! Naho!\Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me. response:	Stop it.
context: Watch where you're walking, dumb morons.\Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me.\Stop it. response:	Ha?
context: Hey.. Wait!\Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me.\Stop it.\Ha? response:	You prowler... Stay away from the ladies.
context: Oh my shoulder hurt.. It's a compound fracture.\Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me.\Stop it.\Ha?\You prowler... Stay away from the ladies. response:	I'm but a normal Salaryman passing by.
context: Eeh! But we hit your left shoulder...\Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me.\Stop it.\Ha?\You prowler... Stay away from the ladies.\I'm but a normal Salaryman passing by. response:	LIAR!! You're wearing a strange Headdress. You're the prowler.
context: Compensation is 1 million... PAY IT.\I don't carry such an amount.\Don't mess with me.\Stop it.\Ha?\You prowler... Stay away from the ladies.\I'm but a normal Salaryman passing by.\LIAR!! You're wearing a strange Headdress. You're the prowler. response:	This is not a headdress.
context: I don't carry such an amount.\Don't mess with me.\Stop it.\Ha?\You prowler... Stay away from the ladies.\I'm but a normal Salaryman passing by.\LIAR!! You're wearing a strange Headdress. You're the prowler.\This is not a headdress. response:	I'm just a Salaryman who has an otter face.
context: Don't mess with me.\Stop it.\Ha?\You prowler... Stay away from the ladies.\I'm but a normal Salaryman passing by.\LIAR!! You're wearing a strange Headdress. You're the prowler.\This is not a headdress.\I'm just a Salaryman who has an otter face. response:	Otter 11.
context: Stop it.\Ha?\You prowler... Stay away from the ladies.\I'm but a normal Salaryman passing by.\LIAR!! You're wearing a strange Headdress. You're the prowler.\This is not a headdress.\I'm just a Salaryman who has an otter face.\Otter 11. response:	Hey what is this? Decide clearly, are you an otter or a human?
