context: I just hope he'll get used to the stables. response:	He'll be fine. He's a calm one.
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one. response:	That's good, because one wild horse is enough to handle.
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle. response:	Sawa!
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa! response:	Are you all right?!
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?! response:	Excuse me, but can you please not butt in?
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?!\Excuse me, but can you please not butt in? response:	You did the same thing during our audition.
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition. response:	But it was fun, wasn't it?
context: I just hope he'll get used to the stables.\He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it? response:	We're pros.
context: He'll be fine. He's a calm one.\That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it?\We're pros. response:	If anything, you should be thanking us.
context: That's good, because one wild horse is enough to handle.\Sawa!\Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us. response:	You're pros?
context: Sawa!\Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us.\You're pros? response:	We're in a band.
context: Are you all right?!\Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us.\You're pros?\We're in a band. response:	Though, we're missing a member.
context: Excuse me, but can you please not butt in?\You did the same thing during our audition.\But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us.\You're pros?\We're in a band.\Though, we're missing a member. response:	Hey, girl!
context: You did the same thing during our audition.\But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us.\You're pros?\We're in a band.\Though, we're missing a member.\Hey, girl! response:	We even have a hit song.
context: But it was fun, wasn't it?\We're pros.\If anything, you should be thanking us.\You're pros?\We're in a band.\Though, we're missing a member.\Hey, girl!\We even have a hit song. response:	But I guess you youngins haven't heard of the Condor Queens.
context: We're pros.\If anything, you should be thanking us.\You're pros?\We're in a band.\Though, we're missing a member.\Hey, girl!\We even have a hit song.\But I guess you youngins haven't heard of the Condor Queens. response:	We were even on a commercial once.
