context: To your house? response:	Yes, I'm having trouble with something
context: To your house?\Yes, I'm having trouble with something response:	Sakura-chan,
context: To your house?\Yes, I'm having trouble with something\Sakura-chan, response:	can you come to my house tomorrow?
context: To your house?\Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow? response:	I'm happy to be going to your house,
context: To your house?\Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house, response:	but what is the trouble?
context: To your house?\Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble? response:	I'll explain that tomorrow
context: To your house?\Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow response:	I wonder what happened to Tomoyo-chan
context: To your house?\Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan response:	I can't breathe!
context: Yes, I'm having trouble with something\Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe! response:	It's nothing
context: Sakura-chan,\can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing response:	Don't do that Kero-chan
context: can you come to my house tomorrow?\I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing\Don't do that Kero-chan response:	But the air in here
context: I'm happy to be going to your house,\but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing\Don't do that Kero-chan\But the air in here response:	It's just a little longer so bear it
context: but what is the trouble?\I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing\Don't do that Kero-chan\But the air in here\It's just a little longer so bear it response:	I'm at my limit already
context: I'll explain that tomorrow\I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing\Don't do that Kero-chan\But the air in here\It's just a little longer so bear it\I'm at my limit already response:	Just a little longer OK? OK?
context: I wonder what happened to Tomoyo-chan\I can't breathe!\It's nothing\Don't do that Kero-chan\But the air in here\It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK? response:	It's at the one after next so hold on
context: I can't breathe!\It's nothing\Don't do that Kero-chan\But the air in here\It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on response:	This is strange. I think it is in this area
context: It's nothing\Don't do that Kero-chan\But the air in here\It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area response:	What? Can't you find Tomoyo's house?
context: Don't do that Kero-chan\But the air in here\It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house? response:	Well, let me see
context: But the air in here\It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see response:	It should be in this area
context: It's just a little longer so bear it\I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area response:	She said it was right after the bus stop
context: I'm at my limit already\Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area\She said it was right after the bus stop response:	Somebody will see you
context: Just a little longer OK? OK?\It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area\She said it was right after the bus stop\Somebody will see you response:	There isn't anybody around here
context: It's at the one after next so hold on\This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area\She said it was right after the bus stop\Somebody will see you\There isn't anybody around here response:	Huh!
context: This is strange. I think it is in this area\What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area\She said it was right after the bus stop\Somebody will see you\There isn't anybody around here\Huh! response:	What is it?
context: What? Can't you find Tomoyo's house?\Well, let me see\It should be in this area\She said it was right after the bus stop\Somebody will see you\There isn't anybody around here\Huh!\What is it? response:	I found Tomoyo's house
context: Well, let me see\It should be in this area\She said it was right after the bus stop\Somebody will see you\There isn't anybody around here\Huh!\What is it?\I found Tomoyo's house response:	Eh? Where? Where?
context: It should be in this area\She said it was right after the bus stop\Somebody will see you\There isn't anybody around here\Huh!\What is it?\I found Tomoyo's house\Eh? Where? Where? response:	Ummm'
context: She said it was right after the bus stop\Somebody will see you\There isn't anybody around here\Huh!\What is it?\I found Tomoyo's house\Eh? Where? Where?\Ummm' response:	What are you doing, Kero-chan?
context: Somebody will see you\There isn't anybody around here\Huh!\What is it?\I found Tomoyo's house\Eh? Where? Where?\Ummm'\What are you doing, Kero-chan? response:	Take a look
context: There isn't anybody around here\Huh!\What is it?\I found Tomoyo's house\Eh? Where? Where?\Ummm'\What are you doing, Kero-chan?\Take a look response:	All of this?
context: Huh!\What is it?\I found Tomoyo's house\Eh? Where? Where?\Ummm'\What are you doing, Kero-chan?\Take a look\All of this? response:	Hello Who is it?
context: What is it?\I found Tomoyo's house\Eh? Where? Where?\Ummm'\What are you doing, Kero-chan?\Take a look\All of this?\Hello Who is it? response:	This is Kinomoto
context: I found Tomoyo's house\Eh? Where? Where?\Ummm'\What are you doing, Kero-chan?\Take a look\All of this?\Hello Who is it?\This is Kinomoto response:	Eh!
context: Eh? Where? Where?\Ummm'\What are you doing, Kero-chan?\Take a look\All of this?\Hello Who is it?\This is Kinomoto\Eh! response:	Sakura-chan
context: Ummm'\What are you doing, Kero-chan?\Take a look\All of this?\Hello Who is it?\This is Kinomoto\Eh!\Sakura-chan response:	Hello
context: What are you doing, Kero-chan?\Take a look\All of this?\Hello Who is it?\This is Kinomoto\Eh!\Sakura-chan\Hello response:	Hey Tomoyo
context: Take a look\All of this?\Hello Who is it?\This is Kinomoto\Eh!\Sakura-chan\Hello\Hey Tomoyo response:	Hello Kero-chan
context: All of this?\Hello Who is it?\This is Kinomoto\Eh!\Sakura-chan\Hello\Hey Tomoyo\Hello Kero-chan response:	So, come this way
context: Hello Who is it?\This is Kinomoto\Eh!\Sakura-chan\Hello\Hey Tomoyo\Hello Kero-chan\So, come this way response:	Woo'
context: This is Kinomoto\Eh!\Sakura-chan\Hello\Hey Tomoyo\Hello Kero-chan\So, come this way\Woo' response:	This really is a big house
context: Eh!\Sakura-chan\Hello\Hey Tomoyo\Hello Kero-chan\So, come this way\Woo'\This really is a big house response:	Young lady
context: Sakura-chan\Hello\Hey Tomoyo\Hello Kero-chan\So, come this way\Woo'\This really is a big house\Young lady response:	Young lady?
context: Hello\Hey Tomoyo\Hello Kero-chan\So, come this way\Woo'\This really is a big house\Young lady\Young lady? response:	Where shall I bring the tea?
context: Hey Tomoyo\Hello Kero-chan\So, come this way\Woo'\This really is a big house\Young lady\Young lady?\Where shall I bring the tea? response:	Bring three to my room
context: Hello Kero-chan\So, come this way\Woo'\This really is a big house\Young lady\Young lady?\Where shall I bring the tea?\Bring three to my room response:	Three?
context: So, come this way\Woo'\This really is a big house\Young lady\Young lady?\Where shall I bring the tea?\Bring three to my room\Three? response:	Please take care of it
context: Woo'\This really is a big house\Young lady\Young lady?\Where shall I bring the tea?\Bring three to my room\Three?\Please take care of it response:	Three?
context: This really is a big house\Young lady\Young lady?\Where shall I bring the tea?\Bring three to my room\Three?\Please take care of it\Three? response:	Amazing!
context: Young lady\Young lady?\Where shall I bring the tea?\Bring three to my room\Three?\Please take care of it\Three?\Amazing! response:	Amazing
context: Young lady?\Where shall I bring the tea?\Bring three to my room\Three?\Please take care of it\Three?\Amazing!\Amazing response:	Your room is really, really big
context: Where shall I bring the tea?\Bring three to my room\Three?\Please take care of it\Three?\Amazing!\Amazing\Your room is really, really big response:	Is this your room over here too?
context: Bring three to my room\Three?\Please take care of it\Three?\Amazing!\Amazing\Your room is really, really big\Is this your room over here too? response:	Yes
context: Three?\Please take care of it\Three?\Amazing!\Amazing\Your room is really, really big\Is this your room over here too?\Yes response:	What do you use it for?
context: Please take care of it\Three?\Amazing!\Amazing\Your room is really, really big\Is this your room over here too?\Yes\What do you use it for? response:	Eh?
context: Three?\Amazing!\Amazing\Your room is really, really big\Is this your room over here too?\Yes\What do you use it for?\Eh? response:	Sakura-chan really is cute
context: Amazing!\Amazing\Your room is really, really big\Is this your room over here too?\Yes\What do you use it for?\Eh?\Sakura-chan really is cute response:	Here, right here
context: Amazing\Your room is really, really big\Is this your room over here too?\Yes\What do you use it for?\Eh?\Sakura-chan really is cute\Here, right here response:	The way the skirt flutters is wonderful
context: Your room is really, really big\Is this your room over here too?\Yes\What do you use it for?\Eh?\Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful response:	Ah, I am really cool too
context: Is this your room over here too?\Yes\What do you use it for?\Eh?\Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too response:	Are you in the middle of making this?
context: Yes\What do you use it for?\Eh?\Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this? response:	I thought I would have you wear it
context: What do you use it for?\Eh?\Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it response:	It looks pretty flashy and nice Looks easy to move around in
context: Eh?\Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in response:	But I feel sorta bad
context: Sakura-chan really is cute\Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad response:	having you make clothes for me all the time
context: Here, right here\The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time response:	Not at all
context: The way the skirt flutters is wonderful\Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time\Not at all response:	I will film you in the clothes that I make for you
context: Ah, I am really cool too\Are you in the middle of making this?\I thought I would have you wear it\It looks pretty flashy and nice Looks easy to move around in\But I feel sorta bad\having you make clothes for me all the time\Not at all\I will film you in the clothes that I make for you response:	It makes me happy
