context: It's getting lonelier and lonelier. response:	Does she really live in a place like this?
context: It's getting lonelier and lonelier.\Does she really live in a place like this? response:	The lesser spirits said they saw someone who looked like Felt coming in this direction...
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction... response:	Hey, bro!
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro! response:	Does a girl named Felt live up this way?
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way? response:	Huh? Felt?
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt? response:	Nothing that way but Old Man Rom's loot house.
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house. response:	Did Felt steal something from you guys?
context: It's getting lonelier and lonelier.\Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys? response:	Well, go try and negotiate to get it back.
context: Does she really live in a place like this?\The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back. response:	Live strong.
context: The lesser spirits said they saw someone who looked like Felt coming in this direction...\Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong. response:	Why do I have to pay money to get back something stolen from me?
context: Hey, bro!\Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me? response:	Well, at any rate, leave this one to me.
context: Does a girl named Felt live up this way?\Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me. response:	I'll negotiate with him.
context: Huh? Felt?\Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him. response:	Okay. I'll leave it to you.
context: Nothing that way but Old Man Rom's loot house.\Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you. response:	You agreed to that awfully easily...
context: Did Felt steal something from you guys?\Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily... response:	The way you've been acting, I thought you'd say,
context: Well, go try and negotiate to get it back.\Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say, response:	Leave this to a useless boy like you?
context: Live strong.\Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you? response:	That's so ridiculous, I'm laughing my head off!
context: Why do I have to pay money to get back something stolen from me?\Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off! response:	And I'd be hurt, but still make up my mind to help you all over again.
context: Well, at any rate, leave this one to me.\I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again. response:	I wouldn't say something that mean.
context: I'll negotiate with him.\Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean. response:	Of course, I'd be lying if I said you haven't been holding me back...
context: Okay. I'll leave it to you.\You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back... response:	It'd be a lie?!
context: You agreed to that awfully easily...\The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?! response:	But...
context: The way you've been acting, I thought you'd say,\Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But... response:	I'll try believing in you.
context: Leave this to a useless boy like you?\That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But...\I'll try believing in you. response:	If it actually goes well, I'll consider it a bonus.
context: That's so ridiculous, I'm laughing my head off!\And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus. response:	If you'd look up at me and say,
context: And I'd be hurt, but still make up my mind to help you all over again.\I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say, response:	Do your best for me! I'd feel a lot more motivated.
context: I wouldn't say something that mean.\Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated. response:	I can't force myself to say something like that.
context: Of course, I'd be lying if I said you haven't been holding me back...\It'd be a lie?!\But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that. response:	But... do your best.
context: It'd be a lie?!\But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best. response:	Yeah. I will.
context: But...\I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best.\Yeah. I will. response:	I'll go in first. You stay outside and keep watch.
context: I'll try believing in you.\If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch. response:	I won't be back too late, but you can have dinner without me.
context: If it actually goes well, I'll consider it a bonus.\If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me. response:	Don't say dumb things like that.
context: If you'd look up at me and say,\Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that. response:	Be careful.
context: Do your best for me! I'd feel a lot more motivated.\I can't force myself to say something like that.\But... do your best.\Yeah. I will.\I'll go in first. You stay outside and keep watch.\I won't be back too late, but you can have dinner without me.\Don't say dumb things like that.\Be careful. response:	Sure, sure.
