context: D- dammit! You say the other two Saiyans are even stronger!? response:	W- what's going on here?
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here? response:	It's too late for you now, even if you do realize how terrible we Saiyans are!
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are! response:	You've got us there. I wish we hadn't heard that.
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that. response:	There's only one thing
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing response:	that fools who defy me without heeding the warnings I so graciously offered get...
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get... response:	You must be pretty excited, huh, Son Goku?
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku? response:	Sorry, but this time, I ain't all that excited.
context: D- dammit! You say the other two Saiyans are even stronger!?\W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited. response:	I'm so scared, I'm trembling!
context: W- what's going on here?\It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling! response:	Of course you are! However, that terror will turn to hopelessness very soon.
context: It's too late for you now, even if you do realize how terrible we Saiyans are!\You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon. response:	Never mind me, where is my son!?
context: You've got us there. I wish we hadn't heard that.\There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!? response:	Where have you hidden him!?
context: There's only one thing\that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!? response:	I haven't hidden him. I just locked him up because he was bawling so loudly.
context: that fools who defy me without heeding the warnings I so graciously offered get...\You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly. response:	There's a hole behind you, right? He's in there.
context: You must be pretty excited, huh, Son Goku?\Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there. response:	In there, huh?
context: Sorry, but this time, I ain't all that excited.\I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh? response:	Gohan...
context: I'm so scared, I'm trembling!\Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh?\Gohan... response:	Father! Save me, Father!
context: Of course you are! However, that terror will turn to hopelessness very soon.\Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh?\Gohan...\Father! Save me, Father! response:	Hold on, Gohan! Daddy's going to come rescue you right away!
context: Never mind me, where is my son!?\Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh?\Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away! response:	Don't be ridiculous!
context: Where have you hidden him!?\I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh?\Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous! response:	There's no way you can save him!
context: I haven't hidden him. I just locked him up because he was bawling so loudly.\There's a hole behind you, right? He's in there.\In there, huh?\Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him! response:	Not if you guys die first!
context: There's a hole behind you, right? He's in there.\In there, huh?\Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him!\Not if you guys die first! response:	All right, let's do it!
context: In there, huh?\Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him!\Not if you guys die first!\All right, let's do it! response:	That's all we can do!
context: Gohan...\Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him!\Not if you guys die first!\All right, let's do it!\That's all we can do! response:	Behind me!
context: Father! Save me, Father!\Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him!\Not if you guys die first!\All right, let's do it!\That's all we can do!\Behind me! response:	Yikes!
context: Hold on, Gohan! Daddy's going to come rescue you right away!\Don't be ridiculous!\There's no way you can save him!\Not if you guys die first!\All right, let's do it!\That's all we can do!\Behind me!\Yikes! response:	Where did you go!?
context: Don't be ridiculous!\There's no way you can save him!\Not if you guys die first!\All right, let's do it!\That's all we can do!\Behind me!\Yikes!\Where did you go!? response:	I'm right here.
context: There's no way you can save him!\Not if you guys die first!\All right, let's do it!\That's all we can do!\Behind me!\Yikes!\Where did you go!?\I'm right here. response:	Even with both of you coming at me,
context: Not if you guys die first!\All right, let's do it!\That's all we can do!\Behind me!\Yikes!\Where did you go!?\I'm right here.\Even with both of you coming at me, response:	this isn't even worth wasting my breath on!
context: All right, let's do it!\That's all we can do!\Behind me!\Yikes!\Where did you go!?\I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on! response:	Damn... Are you okay, Piccolo?
context: That's all we can do!\Behind me!\Yikes!\Where did you go!?\I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo? response:	R- relax. I can still manage to fight with o- only one arm.
context: Behind me!\Yikes!\Where did you go!?\I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm. response:	It looks like your deaths are finally drawing near, huh!?
context: Yikes!\Where did you go!?\I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!? response:	I- I wonder if Goku is doing okay.
context: Where did you go!?\I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay. response:	For some reason, I have this strange, uneasy feeling in my chest.
context: I'm right here.\Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest. response:	I've never felt anything like this before.
context: Even with both of you coming at me,\this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before. response:	I hope nothing bad is happening.
context: this isn't even worth wasting my breath on!\Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening. response:	Listen, teamed up with Piccolo, he's not going to be done in so easily.
context: Damn... Are you okay, Piccolo?\R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily. response:	That's all the more reason to be concerned!
context: R- relax. I can still manage to fight with o- only one arm.\It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned! response:	What if Piccolo double-crosses Goku,
context: It looks like your deaths are finally drawing near, huh!?\I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku, response:	and teams up with that Raditz guy?
context: I- I wonder if Goku is doing okay.\For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy? response:	If those two are done in, then there's nothing left that we can do.
context: For some reason, I have this strange, uneasy feeling in my chest.\I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do. response:	It will be the end of everything!
context: I've never felt anything like this before.\I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything! response:	Goku...
context: I hope nothing bad is happening.\Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku... response:	What's the matter? Are you finished already?
context: Listen, teamed up with Piccolo, he's not going to be done in so easily.\That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku...\What's the matter? Are you finished already? response:	Where did all that gusto you had earlier go?
context: That's all the more reason to be concerned!\What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go? response:	Hey, Son Goku, do you have any new reserve techniques?
context: What if Piccolo double-crosses Goku,\and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques? response:	Sorry, can't say I do.
context: and teams up with that Raditz guy?\If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do. response:	Sheesh, ease up, will you?
context: If those two are done in, then there's nothing left that we can do.\It will be the end of everything!\Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you? response:	And here I've been training seriously, developing something new.
context: It will be the end of everything!\Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new. response:	What are you two whispering about?
context: Goku...\What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about? response:	Whatever strategy you devise, it won't work!
context: What's the matter? Are you finished already?\Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work! response:	It'd be easier on you if you'd just keel over right away.
context: Where did all that gusto you had earlier go?\Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away. response:	Are you for real? You've got yourself a new technique up your sleeve?
context: Hey, Son Goku, do you have any new reserve techniques?\Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve? response:	Yeah.
context: Sorry, can't say I do.\Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah. response:	Can you do it with only one arm?
context: Sheesh, ease up, will you?\And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm? response:	Yeah, that part's okay. But this technique takes quite a bit of time
