context: Ladies and gentlemen, good evening. response:	At Luna's Carnival, I encountered an immature soul.
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul. response:	My friend said to me, This shall be the prelude to my vengeance.
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance. response:	But this soul was too young and beautiful.
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful. response:	It is that alone which gives me cause for fear.
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear. response:	Act 2: Until the Sun Rises Over the Moon
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon response:	Are you going to come?
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come? response:	That's enough fun and games, boy.
context: Ladies and gentlemen, good evening.\At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy. response:	I heard you met him the other day.
context: At Luna's Carnival, I encountered an immature soul.\My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day. response:	Are you bored?
context: My friend said to me, This shall be the prelude to my vengeance.\But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day.\Are you bored? response:	Not at all. It's a wonderful party, don't you think?
context: But this soul was too young and beautiful.\It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think? response:	Where is your friend?
context: It is that alone which gives me cause for fear.\Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend? response:	Oh, you mean Albert?
context: Act 2: Until the Sun Rises Over the Moon\Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert? response:	He's probably out trying to pick up girls, and getting turned down by every one of them.
context: Are you going to come?\That's enough fun and games, boy.\I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them. response:	But this is terrible! This is Luna!
context: That's enough fun and games, boy.\I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna! response:	Strolling around alone at night is tantamount to suicide!
context: I heard you met him the other day.\Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide! response:	Surely you're exaggerating...
context: Are you bored?\Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating... response:	It's no laughing matter. You'll get kidnapped by Luigi Vampa!
context: Not at all. It's a wonderful party, don't you think?\Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa! response:	Luigi Vampa?
context: Where is your friend?\Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa? response:	He's an up-and-coming bandit!
context: Oh, you mean Albert?\He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit! response:	They say that he drags his victims into the catacombs,
context: He's probably out trying to pick up girls, and getting turned down by every one of them.\But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs, response:	How horrible!
