context: I hear they're back. response:	What are you talking about?
context: I hear they're back.\What are you talking about? response:	The core members of Fairy Tail who disappeared seven years ago.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago. response:	Not interested.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested. response:	You can't fool me, Rogue.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue. response:	I remember how you looked up to Natsu-san.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san. response:	That was a long time ago.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago. response:	I admonish us all for our sins.
context: I hear they're back.\What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins. response:	We, Zentopia, should repent for all of the mistakes we've made up to now
context: What are you talking about?\The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now response:	and begin walking upon a new path...
context: The core members of Fairy Tail who disappeared seven years ago.\Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path... response:	Only then may we purge our sins...
context: Not interested.\You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins... response:	This is tiring...
context: You can't fool me, Rogue.\I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins...\This is tiring... response:	What can you do?
context: I remember how you looked up to Natsu-san.\That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins...\This is tiring...\What can you do? response:	The archbishop himself invited us.
context: That was a long time ago.\I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins...\This is tiring...\What can you do?\The archbishop himself invited us. response:	Yeah, but what about everybody else?
context: I admonish us all for our sins.\We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins...\This is tiring...\What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else? response:	As if they'd come to a ceremony like this?
context: We, Zentopia, should repent for all of the mistakes we've made up to now\and begin walking upon a new path...\Only then may we purge our sins...\This is tiring...\What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this? response:	We Legionnaires...
