context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity. response:	The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself. response:	The two, being affected by each others lives, decide to live for their own real happiness.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness. response:	We're so happy for you, Sis!
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis! response:	But all sorts of problems were waiting for them.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them. response:	Yeah, but they solved them one after the other.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other. response:	She doesn't easily get discouraged, after all.
context: What's happened so far!\Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all. response:	And at long last, it's the first summer vacation of high school!
context: Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.\The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school! response:	Sis went off to have fun with the friends she made for the first time!
context: The one who changed her, Arima Souichirou, is an industrious model student who tries to bear all his sorrows by himself.\The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time! response:	They manage the standard menu such as tea, karaoke, and window shopping.
context: The two, being affected by each others lives, decide to live for their own real happiness.\We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping. response:	It was finally Sis's debut into the world of friends,
context: We're so happy for you, Sis!\But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends, response:	but as it turned out before we knew it
context: But all sorts of problems were waiting for them.\Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it response:	she was mixed up in another family's private problems!
context: Yeah, but they solved them one after the other.\She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems! response:	I'm home.
