context: Okay, class! Find a partner and hold hands! response:	Friends Work Together!
context: Okay, class! Find a partner and hold hands!\Friends Work Together! response:	Okay, class! Find a partner and hold hands!
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands! response:	Okay, class! Find a partner and hold hands!
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands! response:	Wanna be my partner?
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner? response:	Sure!
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure! response:	Everyone have their partner?
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure!\Everyone have their partner? response:	Oh?
context: Okay, class! Find a partner and hold hands!\Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure!\Everyone have their partner?\Oh? response:	Where's your partner, Miyamura-kun?
context: Friends Work Together!\Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure!\Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun? response:	Who wants to be Miyamura-kun's partner?
context: Okay, class! Find a partner and hold hands!\Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure!\Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner? response:	Miyamura?
context: Okay, class! Find a partner and hold hands!\Wanna be my partner?\Sure!\Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura? response:	Eww, no! He's weird!
context: Wanna be my partner?\Sure!\Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird! response:	Science Lab
context: Sure!\Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird!\Science Lab response:	We'll be doing an experiment today,
context: Everyone have their partner?\Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird!\Science Lab\We'll be doing an experiment today, response:	so get into groups of five.
context: Oh?\Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird!\Science Lab\We'll be doing an experiment today,\so get into groups of five. response:	-Can I join you guys?
context: Where's your partner, Miyamura-kun?\Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird!\Science Lab\We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys? response:	-Hey, thanks. -Can I join you guys?
context: Who wants to be Miyamura-kun's partner?\Miyamura?\Eww, no! He's weird!\Science Lab\We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys? response:	Miyamura's left over again... He's so gloomy.
context: Miyamura?\Eww, no! He's weird!\Science Lab\We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy. response:	He's totally impossible to read.
context: Eww, no! He's weird!\Science Lab\We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read. response:	Hey, someone take Miyamura.
context: Science Lab\We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura. response:	Ugh...
context: We'll be doing an experiment today,\so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura.\Ugh... response:	Ugh... yeah.
context: so get into groups of five.\-Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura.\Ugh...\Ugh... yeah. response:	Ow!
context: -Can I join you guys?\-Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura.\Ugh...\Ugh... yeah.\Ow! response:	School is hard.
context: -Hey, thanks. -Can I join you guys?\Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura.\Ugh...\Ugh... yeah.\Ow!\School is hard. response:	Honestly, it's kind of impressive how gloomy he is all the time.
context: Miyamura's left over again... He's so gloomy.\He's totally impossible to read.\Hey, someone take Miyamura.\Ugh...\Ugh... yeah.\Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time. response:	Who is?
context: He's totally impossible to read.\Hey, someone take Miyamura.\Ugh...\Ugh... yeah.\Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is? response:	Miyamura, duh!
context: Hey, someone take Miyamura.\Ugh...\Ugh... yeah.\Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh! response:	Miyamura? Who's that?
context: Ugh...\Ugh... yeah.\Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh!\Miyamura? Who's that? response:	What do you mean, who? Where have you been, Hori-san?
context: Ugh... yeah.\Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san? response:	For the next classics report,
context: Ow!\School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report, response:	we have to group up with the person next to us on the roster.
context: School is hard.\Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster. response:	What're you doing?
context: Honestly, it's kind of impressive how gloomy he is all the time.\Who is?\Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing? response:	N-Nothing.
context: Who is?\Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing. response:	You just hid something, though.
context: Miyamura, duh!\Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing.\You just hid something, though. response:	Apparently we're gonna be grouped up on the next report.
context: Miyamura? Who's that?\What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report. response:	Oh. O-Okay, uh...
context: What do you mean, who? Where have you been, Hori-san?\For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh... response:	My name's Hori.
context: For the next classics report,\we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori. response:	You should at least know the names of the people in your class.
context: we have to group up with the person next to us on the roster.\What're you doing?\N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class. response:	Sorry.
context: What're you doing?\N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class.\Sorry. response:	Didn't she just say she didn't know who I was, though?
context: N-Nothing.\You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though? response:	Everyone says you're all dark and gloomy.
context: You just hid something, though.\Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy. response:	Yeah.
context: Apparently we're gonna be grouped up on the next report.\Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah. response:	That's why I talked to you.
context: Oh. O-Okay, uh...\My name's Hori.\You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you. response:	But wow,
context: My name's Hori.\You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you.\But wow, response:	you're totally normal!
