context: Water. response:	Earth.
context: Water.\Earth. response:	Fire.
context: Water.\Earth.\Fire. response:	Air.
context: Water.\Earth.\Fire.\Air. response:	Long ago, the four nations lived together in harmony.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony. response:	Then, everything changed when the Fire Nation attacked.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked. response:	Only the Avatar, master of all four elements, could stop them.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them. response:	But when the world needed him most, he vanished.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished. response:	A hundred years passed, and my brother and I discovered the new Avatar...
context: Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar... response:	And although his airbending skills are great.
context: Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great. response:	He has a lot to learn before he's ready to save anyone.
context: Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone. response:	But I believe Aang can save the world.
context: Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world. response:	We need you, Aang.
context: Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang. response:	I need you too.
context: Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang.\I need you too. response:	Be careful guys!
context: But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang.\I need you too.\Be careful guys! response:	Guys?
context: A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang.\I need you too.\Be careful guys!\Guys? response:	Gyatso?
context: And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang.\I need you too.\Be careful guys!\Guys?\Gyatso? response:	Why did you disappear?
context: He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\We need you, Aang.\I need you too.\Be careful guys!\Guys?\Gyatso?\Why did you disappear? response:	I didn't mean to.
context: But I believe Aang can save the world.\We need you, Aang.\I need you too.\Be careful guys!\Guys?\Gyatso?\Why did you disappear?\I didn't mean to. response:	We need you, Aang.
context: We need you, Aang.\I need you too.\Be careful guys!\Guys?\Gyatso?\Why did you disappear?\I didn't mean to.\We need you, Aang. response:	We need you, Aang. We need you.
context: I need you too.\Be careful guys!\Guys?\Gyatso?\Why did you disappear?\I didn't mean to.\We need you, Aang.\We need you, Aang. We need you. response:	Huh? Uh... what's going on? Did we get captured again?
context: Be careful guys!\Guys?\Gyatso?\Why did you disappear?\I didn't mean to.\We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again? response:	It's nothing, I just had a bad dream. Go back to sleep.
context: Guys?\Gyatso?\Why did you disappear?\I didn't mean to.\We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep. response:	Don't have to tell me twice.
context: Gyatso?\Why did you disappear?\I didn't mean to.\We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice. response:	Are you all right, Aang?
context: Why did you disappear?\I didn't mean to.\We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang? response:	I'm okay.
context: I didn't mean to.\We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang?\I'm okay. response:	You seem to be having a lot of nightmares lately, you wanna tell me about it?
context: We need you, Aang.\We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it? response:	I think I just need some rest.
context: We need you, Aang. We need you.\Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest. response:	You guys want to hear about my dream?
context: Huh? Uh... what's going on? Did we get captured again?\It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream? response:	That's ok, I didn't wanna talk about it anyway.
context: It's nothing, I just had a bad dream. Go back to sleep.\Don't have to tell me twice.\Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway. response:	Look at those clear skies, buddy! Should be some smooth flying.
context: Don't have to tell me twice.\Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying. response:	Well, we better smoothly fly ourselves to a market, cause we're out of food.
context: Are you all right, Aang?\I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food. response:	Guys, wait, this was in my dream, we shouldn't go to the market.
context: I'm okay.\You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food.\Guys, wait, this was in my dream, we shouldn't go to the market. response:	What happened in your dream?
context: You seem to be having a lot of nightmares lately, you wanna tell me about it?\I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food.\Guys, wait, this was in my dream, we shouldn't go to the market.\What happened in your dream? response:	Food eats people!
context: I think I just need some rest.\You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food.\Guys, wait, this was in my dream, we shouldn't go to the market.\What happened in your dream?\Food eats people! response:	Also, Momo could talk. You said some very unkind things.
context: You guys want to hear about my dream?\That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food.\Guys, wait, this was in my dream, we shouldn't go to the market.\What happened in your dream?\Food eats people!\Also, Momo could talk. You said some very unkind things. response:	There is a storm coming. A big one.
context: That's ok, I didn't wanna talk about it anyway.\Look at those clear skies, buddy! Should be some smooth flying.\Well, we better smoothly fly ourselves to a market, cause we're out of food.\Guys, wait, this was in my dream, we shouldn't go to the market.\What happened in your dream?\Food eats people!\Also, Momo could talk. You said some very unkind things.\There is a storm coming. A big one. response:	You're out of your mind, Uncle.
