context: - Your Highness. - Your Highness. response:	You may all go.
context: - Your Highness. - Your Highness.\You may all go. response:	- Yes. - Yes.
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes. response:	What do you think of this place?
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes.\What do you think of this place? response:	How does it compare to Qing Qiu?
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu? response:	It's so beautiful.
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful. response:	This is the Celestial Palace's lotus pond
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond response:	as well as the most beautiful place in Celestial Palace.
context: - Your Highness. - Your Highness.\You may all go.\- Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace. response:	Sneaking you into the Celestial Palace is not what I wished to do.
context: You may all go.\- Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do. response:	Give me some time.
context: - Yes. - Yes.\What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time. response:	I'll have you appear before all in a dignified manner
context: What do you think of this place?\How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner response:	and receive bows of salutations from all the immortals.
context: How does it compare to Qing Qiu?\It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals. response:	Your Highness.
context: It's so beautiful.\This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness. response:	Third Brother.
context: This is the Celestial Palace's lotus pond\as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness.\Third Brother. response:	Second Brother.
context: as well as the most beautiful place in Celestial Palace.\Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness.\Third Brother.\Second Brother. response:	Is this person from Qing Qiu's Fox Den?
context: Sneaking you into the Celestial Palace is not what I wished to do.\Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness.\Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den? response:	This is someone I just selected to serve as my personal maid.
context: Give me some time.\I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness.\Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid. response:	What is the matter, Third Brother?
context: I'll have you appear before all in a dignified manner\and receive bows of salutations from all the immortals.\Your Highness.\Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother? response:	Have you started to become interested in my personal maids?
context: and receive bows of salutations from all the immortals.\Your Highness.\Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids? response:	I'm asking if she is from Qing Qiu's Fox Den.
context: Your Highness.\Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den. response:	Was it Ye Hua who told you?
context: Third Brother.\Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you? response:	It really is Bai Qian's maid?
context: Second Brother.\Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid? response:	That is correct.
context: Is this person from Qing Qiu's Fox Den?\This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct. response:	Second Brother, there is no time to lose.
context: This is someone I just selected to serve as my personal maid.\What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose. response:	Quickly send this snake back to Qing Qiu before Father returns.
context: What is the matter, Third Brother?\Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns. response:	No.
context: Have you started to become interested in my personal maids?\I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No. response:	You must not go. I'll do it.
context: I'm asking if she is from Qing Qiu's Fox Den.\Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it. response:	Since I have brought her here, I won't be sending her back.
context: Was it Ye Hua who told you?\It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back. response:	This must be handled with care.
context: It really is Bai Qian's maid?\That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care. response:	You can like anybody but her.
context: That is correct.\Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her. response:	I am the second son of the Heavenly Lord.
context: Second Brother, there is no time to lose.\Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord. response:	Can I not even decide on my own concubines?
context: Quickly send this snake back to Qing Qiu before Father returns.\No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines? response:	Ever since the war 70,000 years ago when Mo Yuan's soul was scattered
context: No.\You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered response:	the clan leaders of the Celestial Tribe
