context: Oh, right... response:	I'm in love with someone now.
context: Oh, right...\I'm in love with someone now. response:	From Now On
context: Oh, right...\I'm in love with someone now.\From Now On response:	Right now, I'm in love.
context: Oh, right...\I'm in love with someone now.\From Now On\Right now, I'm in love. response:	I've heard that when you're in love, the world starts to look totally different...
context: Oh, right...\I'm in love with someone now.\From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different... response:	In my case, I haven't noticed any significant changes.
context: Oh, right...\I'm in love with someone now.\From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes. response:	Good morning, uglyface!
context: Oh, right...\I'm in love with someone now.\From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface! response:	Jeez, that's the first thing that comes out of your mouth?
context: Oh, right...\I'm in love with someone now.\From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth? response:	Kindly cover that mouth of yours, will you? It's unseemly!
context: I'm in love with someone now.\From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly! response:	What?
context: From Now On\Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What? response:	It's just... When I see those winter uniforms,
context: Right now, I'm in love.\I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms, response:	it reminds me of when you kneed me that first day we met,
context: I've heard that when you're in love, the world starts to look totally different...\In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met, response:	and it gives me the chills.
context: In my case, I haven't noticed any significant changes.\Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills. response:	Speaking of getting kneed...
context: Good morning, uglyface!\Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed... response:	Ouch!
context: Jeez, that's the first thing that comes out of your mouth?\Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed...\Ouch! response:	What do you think you're doing, huh?
context: Kindly cover that mouth of yours, will you? It's unseemly!\What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed...\Ouch!\What do you think you're doing, huh? response:	Your new girlfriend just showed up in her new uniform!
context: What?\It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed...\Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform! response:	How about a little praise?
context: It's just... When I see those winter uniforms,\it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed...\Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise? response:	Oh, that's what you want?
context: it reminds me of when you kneed me that first day we met,\and it gives me the chills.\Speaking of getting kneed...\Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want? response:	You're cute. Yes, you're cute.
context: and it gives me the chills.\Speaking of getting kneed...\Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute. response:	Not good, not good!
context: Speaking of getting kneed...\Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good! response:	Why am I jumping for joy over such blatant lip service?
context: Ouch!\What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service? response:	Oh, well, I guess I might have changed in some small ways.
context: What do you think you're doing, huh?\Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways. response:	Like feeling so elated over the most trivial things.
context: Your new girlfriend just showed up in her new uniform!\How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things. response:	Hey. Ichijo and Chitoge.
context: How about a little praise?\Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge. response:	Good morning.
context: Oh, that's what you want?\You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning. response:	Good morning.
context: You're cute. Yes, you're cute.\Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning.\Good morning. response:	Master Raku!
