context: Signs response:	You're my dad?
context: Signs\You're my dad? response:	Let go of me, Chief!
context: Signs\You're my dad?\Let go of me, Chief! response:	I promised myself that I'd give him a good punch!
context: Signs\You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch! response:	My name's Ivica.
context: Signs\You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica. response:	Your wife, Eureka, saved my life once.
context: Signs\You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once. response:	How would you describe the state she's currently in?
context: Signs\You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in? response:	Are you familiar with the anthropic principle?
context: Signs\You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle? response:	The sci-fi idea that reality changes based on who the observer is?
context: You're my dad?\Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is? response:	The Scub Coral is an intelligent unit.
context: Let go of me, Chief!\I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit. response:	To escape the Limit of Questions, they found a means to travel between universes.
context: I promised myself that I'd give him a good punch!\My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes. response:	That's what you call the Quartz.
context: My name's Ivica.\Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz. response:	Different universes?
context: Your wife, Eureka, saved my life once.\How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes? response:	You mean, not the future, but an entirely different universe?
context: How would you describe the state she's currently in?\Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe? response:	As a Coralian, Eureka must've turned herself into Quartz,
context: Are you familiar with the anthropic principle?\The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz, response:	and took the dangerous Quartz with her to somewhere else.
context: The sci-fi idea that reality changes based on who the observer is?\The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else. response:	She must've only desired to be transported to a different time and place.
context: The Scub Coral is an intelligent unit.\To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place. response:	That's why she couldn't arrive or materialize at a particular destination.
context: To escape the Limit of Questions, they found a means to travel between universes.\That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination. response:	Can't you do something? Isn't that what you're here for?
context: That's what you call the Quartz.\Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for? response:	You came here to save Mom, right?
context: Different universes?\You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right? response:	You destroyed the Scub for that, didn't you?
context: You mean, not the future, but an entirely different universe?\As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you? response:	It's been reported that the Quartz Gun's power could alter the course of events.
context: As a Coralian, Eureka must've turned herself into Quartz,\and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events. response:	But...
context: and took the dangerous Quartz with her to somewhere else.\She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But... response:	As you can see,
context: She must've only desired to be transported to a different time and place.\That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see, response:	the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.
context: That's why she couldn't arrive or materialize at a particular destination.\Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon. response:	Yeah, it can change time and the world.
context: Can't you do something? Isn't that what you're here for?\You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world. response:	There should be one more shot left in it.
context: You came here to save Mom, right?\You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it. response:	You've been looking for it, haven't you?
context: You destroyed the Scub for that, didn't you?\It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you? response:	So Eureka gave birth to Ao on this island?
context: It's been reported that the Quartz Gun's power could alter the course of events.\But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island? response:	Thank you very much.
context: But...\As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much. response:	It's been ten years since Mom disappeared.
context: As you can see,\the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared. response:	What were you doing this entire time?
