context: I said, do whatever you like! response:	It's not like I like Koizumi or anything.
context: I said, do whatever you like!\It's not like I like Koizumi or anything. response:	The truth is, I know how to perform magic.
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic. response:	I can use my magic to bring you happiness, Koizumi-san.
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san. response:	Just so you know, I'm the one Koizumi-san likes.
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes. response:	There's no way she'd fall for someone like you.
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you. response:	Seriously...
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously... response:	For real this time...
context: I said, do whatever you like!\It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously...\For real this time... response:	I'm going to stop liking Otani.
context: It's not like I like Koizumi or anything.\The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously...\For real this time...\I'm going to stop liking Otani. response:	This time, we really can go back to the way we were.
context: The truth is, I know how to perform magic.\I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously...\For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were. response:	The Fist of Love! Accept it, a Maiden's Spirit!!
context: I can use my magic to bring you happiness, Koizumi-san.\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously...\For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!! response:	Yes!
context: Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Seriously...\For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes! response:	Perfect!
context: There's no way she'd fall for someone like you.\Seriously...\For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect! response:	D'ya see that?
context: Seriously...\For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect!\D'ya see that? response:	I saw.
context: For real this time...\I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect!\D'ya see that?\I saw. response:	I'm not gonna lose to you again.
context: I'm going to stop liking Otani.\This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect!\D'ya see that?\I saw.\I'm not gonna lose to you again. response:	Challenge me any time you want.
context: This time, we really can go back to the way we were.\The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect!\D'ya see that?\I saw.\I'm not gonna lose to you again.\Challenge me any time you want. response:	That's great.
context: The Fist of Love! Accept it, a Maiden's Spirit!!\Yes!\Perfect!\D'ya see that?\I saw.\I'm not gonna lose to you again.\Challenge me any time you want.\That's great. response:	Otani really is great!
context: Yes!\Perfect!\D'ya see that?\I saw.\I'm not gonna lose to you again.\Challenge me any time you want.\That's great.\Otani really is great! response:	Weren't you meant to be cheering for Maity?
context: Perfect!\D'ya see that?\I saw.\I'm not gonna lose to you again.\Challenge me any time you want.\That's great.\Otani really is great!\Weren't you meant to be cheering for Maity? response:	Well, Maity-sama is wonderful, of course,
context: D'ya see that?\I saw.\I'm not gonna lose to you again.\Challenge me any time you want.\That's great.\Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course, response:	He deserves some praise.
context: I saw.\I'm not gonna lose to you again.\Challenge me any time you want.\That's great.\Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise. response:	So what's going on with you and Otani anyway?
context: I'm not gonna lose to you again.\Challenge me any time you want.\That's great.\Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway? response:	Well... nothing.
context: Challenge me any time you want.\That's great.\Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing. response:	We've progressed so little...
context: That's great.\Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little... response:	You...
context: Otani really is great!\Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little...\You... response:	The comedy duo has been revived!
context: Weren't you meant to be cheering for Maity?\Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little...\You...\The comedy duo has been revived! response:	Revived? Are you serious?
context: Well, Maity-sama is wonderful, of course,\He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little...\You...\The comedy duo has been revived!\Revived? Are you serious? response:	How exactly did you guys end up like that again?
context: He deserves some praise.\So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little...\You...\The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again? response:	It's fine. This is the most comfortable way for us to be anyway.
context: So what's going on with you and Otani anyway?\Well... nothing.\We've progressed so little...\You...\The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway. response:	Risa, are you aware of your situation right now?
context: Well... nothing.\We've progressed so little...\You...\The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now? response:	Otani is
context: We've progressed so little...\You...\The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is response:	President Koizumi!
context: You...\The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is\President Koizumi! response:	President...
context: The comedy duo has been revived!\Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is\President Koizumi!\President... response:	Maity Love
context: Revived? Are you serious?\How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is\President Koizumi!\President...\Maity Love response:	The Maity club is... is disbanded now, right?
context: How exactly did you guys end up like that again?\It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is\President Koizumi!\President...\Maity Love\The Maity club is... is disbanded now, right? response:	Right?
context: It's fine. This is the most comfortable way for us to be anyway.\Risa, are you aware of your situation right now?\Otani is\President Koizumi!\President...\Maity Love\The Maity club is... is disbanded now, right?\Right? response:	It's so awful that Maity-sensei has a fiancee!
context: Risa, are you aware of your situation right now?\Otani is\President Koizumi!\President...\Maity Love\The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee! response:	Seriously?!
context: Otani is\President Koizumi!\President...\Maity Love\The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?! response:	I see.
