context: Blue Castle Academy response:	I was so concerned about the start of school,
context: Blue Castle Academy\I was so concerned about the start of school, response:	but two weeks have already passed.
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed. response:	Teacher...
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed.\Teacher... response:	Roromiya's roasting dried seaweed on the alcohol lamp.
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp. response:	Teacher...
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher... response:	Roromiya brought a dog to school.
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school. response:	Teacher...
context: Blue Castle Academy\I was so concerned about the start of school,\but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school.\Teacher... response:	Roromiya is staring off into space.
context: I was so concerned about the start of school,\but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space. response:	Teacher...
context: but two weeks have already passed.\Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space.\Teacher... response:	Roromiya ran away.
context: Teacher...\Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space.\Teacher...\Roromiya ran away. response:	I should be more worried about her than myself...
context: Roromiya's roasting dried seaweed on the alcohol lamp.\Teacher...\Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space.\Teacher...\Roromiya ran away.\I should be more worried about her than myself... response:	So if you apply this number here,
context: Teacher...\Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space.\Teacher...\Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here, response:	Don't Think
context: Roromiya brought a dog to school.\Teacher...\Roromiya is staring off into space.\Teacher...\Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here,\Don't Think response:	this is the result.
context: Teacher...\Roromiya is staring off into space.\Teacher...\Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here,\Don't Think\this is the result. response:	And if you plug in this number here...
context: Roromiya is staring off into space.\Teacher...\Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here,\Don't Think\this is the result.\And if you plug in this number here... response:	Oh, it's you.
context: Teacher...\Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here,\Don't Think\this is the result.\And if you plug in this number here...\Oh, it's you. response:	What were you doing? Hurry and take your seat!
context: Roromiya ran away.\I should be more worried about her than myself...\So if you apply this number here,\Don't Think\this is the result.\And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat! response:	What's she doing?
context: I should be more worried about her than myself...\So if you apply this number here,\Don't Think\this is the result.\And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing? response:	She vanished, right in the middle of P.E.
context: So if you apply this number here,\Don't Think\this is the result.\And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E. response:	Yeah, she just disappeared during the marathon.
context: Don't Think\this is the result.\And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon. response:	I mean, it's like you can never guess what she's thinking.
context: this is the result.\And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking. response:	She's really cute but...
context: And if you plug in this number here...\Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but... response:	What the hell?
context: Oh, it's you.\What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell? response:	Creepy...
context: What were you doing? Hurry and take your seat!\What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell?\Creepy... response:	Hey!
context: What's she doing?\She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell?\Creepy...\Hey! response:	I'm twice as bad, so why aren't you talking about...
