context: In the great ocean, Ignora, lies a conspicuously large landform. response:	It is surrounded by continents on all four cardinal directions in the shape of a cross.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross. response:	This is the island protected by gods, Ente Isla.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla. response:	All who live within these lands know of Satan, the Overlord.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord. response:	He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows. response:	Overlord Satan.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan. response:	It is his life's work
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan.\It is his life's work response:	to conquer the human world and bestow unto his subjects a modern-day Arcadia.
context: In the great ocean, Ignora, lies a conspicuously large landform.\It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan.\It is his life's work\to conquer the human world and bestow unto his subjects a modern-day Arcadia. response:	Beside him stand his four trusted generals,
context: It is surrounded by continents on all four cardinal directions in the shape of a cross.\This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan.\It is his life's work\to conquer the human world and bestow unto his subjects a modern-day Arcadia.\Beside him stand his four trusted generals, response:	Adramelech, Lucifer, Alsiel, and Malacoda.
context: This is the island protected by gods, Ente Isla.\All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan.\It is his life's work\to conquer the human world and bestow unto his subjects a modern-day Arcadia.\Beside him stand his four trusted generals,\Adramelech, Lucifer, Alsiel, and Malacoda. response:	The four take upon themselves each a continent to conquer.
context: All who live within these lands know of Satan, the Overlord.\He is the symbol of cruelty and fear, and the lord of all demons that stalk in the shadows.\Overlord Satan.\It is his life's work\to conquer the human world and bestow unto his subjects a modern-day Arcadia.\Beside him stand his four trusted generals,\Adramelech, Lucifer, Alsiel, and Malacoda.\The four take upon themselves each a continent to conquer. response:	In retaliation, a hero steps forward, sacred sword in hand.
