context: Kyousuke! response:	Could you go out shopping for me?
context: Kyousuke!\Could you go out shopping for me? response:	Oh?
context: Kyousuke!\Could you go out shopping for me?\Oh? response:	Are you looking at porn sites on Kirino's laptop again?
context: Kyousuke!\Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again? response:	What are you talking about, dear mother?
context: Kyousuke!\Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother? response:	Look at this screen, with its clear skies as clean as my heart!
context: Kyousuke!\Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart! response:	Thank god for the emergency escape key!
context: Kyousuke!\Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key! response:	And wait, why do you know about the porn site thing?!
context: Kyousuke!\Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?! response:	Who browses porn sites on his little sister's laptop?
context: Could you go out shopping for me?\Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop? response:	That's so gross!
context: Oh?\Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross! response:	Dammit, using people like this...
context: Are you looking at porn sites on Kirino's laptop again?\What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this... response:	It's pretty rare to run into you here.
context: What are you talking about, dear mother?\Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here. response:	I know, right?
context: Look at this screen, with its clear skies as clean as my heart!\Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here.\I know, right? response:	What are you having for dinner tonight?
context: Thank god for the emergency escape key!\And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight? response:	As you can see, curry yet again.
context: And wait, why do you know about the porn site thing?!\Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight?\As you can see, curry yet again. response:	How many times is that this month I wonder?
context: Who browses porn sites on his little sister's laptop?\That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder? response:	I wish Mom could learn even half of your repertoire.
context: That's so gross!\Dammit, using people like this...\It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire. response:	You're good at making sweets and meals right?
context: Dammit, using people like this...\It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right? response:	Oh yeah!
context: It's pretty rare to run into you here.\I know, right?\What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah! response:	Mom's going to be out for our next day off, and she was wondering how to deal with lunch.
context: I know, right?\What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch. response:	How about you come over and make lunch?
context: What are you having for dinner tonight?\As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch? response:	Go on in.
context: As you can see, curry yet again.\How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in. response:	Sorry to intrude.
context: How many times is that this month I wonder?\I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in.\Sorry to intrude. response:	That was Kirino-chan... right?
context: I wish Mom could learn even half of your repertoire.\You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in.\Sorry to intrude.\That was Kirino-chan... right? response:	Crap.
context: You're good at making sweets and meals right?\Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in.\Sorry to intrude.\That was Kirino-chan... right?\Crap. response:	G-Good afternoon, Kirino-chan!
context: Oh yeah!\Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in.\Sorry to intrude.\That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan! response:	Do you remember me?
context: Mom's going to be out for our next day off, and she was wondering how to deal with lunch.\How about you come over and make lunch?\Go on in.\Sorry to intrude.\That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan!\Do you remember me? response:	I used to come ov
context: How about you come over and make lunch?\Go on in.\Sorry to intrude.\That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov response:	Who might you be?
context: Go on in.\Sorry to intrude.\That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov\Who might you be? response:	I guess you don't remember...
context: Sorry to intrude.\That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov\Who might you be?\I guess you don't remember... response:	Then once again, I'm Tamura Manami.
context: That was Kirino-chan... right?\Crap.\G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov\Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami. response:	Pleased to meet you!
context: Crap.\G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov\Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you! response:	And why are you here, anyway?
context: G-Good afternoon, Kirino-chan!\Do you remember me?\I used to come ov\Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway? response:	Hey, stop tha
context: Do you remember me?\I used to come ov\Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway?\Hey, stop tha response:	Come here for a second.
context: I used to come ov\Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway?\Hey, stop tha\Come here for a second. response:	Wait!
context: Who might you be?\I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway?\Hey, stop tha\Come here for a second.\Wait! response:	What do you think you're doing, bringing a girl over when Mom and Dad aren't home?
context: I guess you don't remember...\Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway?\Hey, stop tha\Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home? response:	That's so gross!
context: Then once again, I'm Tamura Manami.\Pleased to meet you!\And why are you here, anyway?\Hey, stop tha\Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross! response:	There's no ulterior motive!
context: Pleased to meet you!\And why are you here, anyway?\Hey, stop tha\Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive! response:	I wasn't trying to sneak her in or anything!
context: And why are you here, anyway?\Hey, stop tha\Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything! response:	I just brought here to make lunch!
