context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: Dijun, what do you have in your arms?\You can't tell from looking what this is? response:	I've just never seen Dijun have any relations with a woman. I'm shocked.
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked. response:	Isn't that Qing Qiu's little princess?
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess? response:	She's a nice girl. A nice girl.
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl. response:	But you shouldn't mess with Qing Qiu.
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu. response:	Dijun, my second brother and Ye Hua both fell into their hands.
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands. response:	You have to think about this carefully.
context: Dijun, what do you have in your arms?\You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully. response:	It's not easy being a son-in-law of the Fox Clan.
context: You can't tell from looking what this is?\I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan. response:	Did she get tricked into eating a drunken fruit?
context: I've just never seen Dijun have any relations with a woman. I'm shocked.\Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit? response:	Go ask your woman about it.
context: Isn't that Qing Qiu's little princess?\She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it. response:	- Dijun. - Dijun.
context: She's a nice girl. A nice girl.\But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun. response:	Where does Feng Jiu sleep?
context: But you shouldn't mess with Qing Qiu.\Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep? response:	That bed.
